user,test_acc,auc
7,72.42424011230469%,0.7202952775811509
9,76.21212005615234%,0.7646374759834159
12,60.15151596069336%,0.6059763373445242
15,58.48484802246094%,0.5897461826271615
16,59.39393997192383%,0.5985438365861058
20,69.09091186523438%,0.6822732328850238
21,61.818180084228516%,0.6200829204166245
23,55.75757598876953%,0.5616341389422591
29,55.60606002807617%,0.5642127616543634
35,62.878787994384766%,0.6285266457680251
