user,test_acc,auc
7,74.09091186523438%,0.7347052280311458
9,81.81818389892578%,0.818586308019011
12,61.212120056152344%,0.6155324097482051
15,61.06060791015625%,0.6124481747396097
16,65.30303192138672%,0.6510769541915259
20,73.93939208984375%,0.7371827282839518
21,59.24242401123047%,0.5935382748508443
23,64.39393615722656%,0.6430882799069673
29,67.7272720336914%,0.6779755283648498
35,62.878787994384766%,0.6288300131459198
