user,test_acc,auc
7,72.1212158203125%,0.7156436444534331
9,77.2727279663086%,0.7733845687127111
12,61.66666793823242%,0.6224592982101325
15,59.09090805053711%,0.596723632318738
16,59.84848403930664%,0.60395388815856
20,69.8484878540039%,0.689098998887653
21,62.42424392700195%,0.6240266963292547
23,57.272727966308594%,0.5782182222671656
29,54.09090805053711%,0.549550005056123
35,63.181819915771484%,0.6331782788957427
