2023-04-17 17:13:44,625 - lr:0.01,weight_decay:0.01,batch_size:20
2023-04-17 17:13:44,625 - CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (relu): ReLU(inplace=True)
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (gmp): MaxPool1d(kernel_size=1, stride=1, padding=0, dilation=1, ceil_mode=False)
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=36, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=2, bias=True)
)
2023-04-17 17:13:52,497 - Epoch:68/100,Train Accuracy:50.149253845214844%
2023-04-17 17:13:52,607 - Epoch:69/100,Train Accuracy:49.47761154174805%
2023-04-17 17:13:52,717 - Epoch:70/100,Train Accuracy:49.92537307739258%
2023-04-17 17:13:52,828 - Epoch:71/100,Train Accuracy:51.044776916503906%
2023-04-17 17:13:52,938 - Epoch:72/100,Train Accuracy:50.37313461303711%
2023-04-17 17:13:53,048 - Epoch:73/100,Train Accuracy:49.92537307739258%
2023-04-17 17:13:53,158 - Epoch:74/100,Train Accuracy:51.7164192199707%
2023-04-17 17:13:53,272 - Epoch:75/100,Train Accuracy:47.68656539916992%
2023-04-17 17:13:53,382 - Epoch:76/100,Train Accuracy:50.223880767822266%
2023-04-17 17:13:53,493 - Epoch:77/100,Train Accuracy:51.417911529541016%
2023-04-17 17:13:53,603 - Epoch:78/100,Train Accuracy:50.0%
2023-04-17 17:13:53,713 - Epoch:79/100,Train Accuracy:49.92537307739258%
2023-04-17 17:13:53,823 - Epoch:80/100,Train Accuracy:50.223880767822266%
2023-04-17 17:13:53,933 - Epoch:81/100,Train Accuracy:50.82089614868164%
2023-04-17 17:13:54,043 - Epoch:82/100,Train Accuracy:50.37313461303711%
2023-04-17 17:13:54,153 - Epoch:83/100,Train Accuracy:50.44776153564453%
