2023-04-05 22:14:10,524 - lr:0.001,weight_decay:0.01,batch_size:20
2023-04-05 22:14:10,524 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(1,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv4): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=150, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 22:14:24,970 - Epoch:15/50,Train Accuracy:51.19403076171875%
2023-04-05 22:14:25,219 - Epoch:16/50,Train Accuracy:51.19403076171875%
2023-04-05 22:14:25,507 - Epoch:17/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:25,754 - Epoch:18/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:25,998 - Epoch:19/50,Train Accuracy:50.52238845825195%
2023-04-05 22:14:26,247 - Epoch:20/50,Train Accuracy:50.37313461303711%
2023-04-05 22:14:26,489 - Epoch:21/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:26,735 - Epoch:22/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:26,981 - Epoch:23/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:27,235 - Epoch:24/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:27,481 - Epoch:25/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:27,728 - Epoch:26/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:27,974 - Epoch:27/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:28,224 - Epoch:28/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:28,475 - Epoch:29/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:28,730 - Epoch:30/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:28,983 - Epoch:31/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:29,238 - Epoch:32/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:29,489 - Epoch:33/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:29,745 - Epoch:34/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:30,001 - Epoch:35/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:30,258 - Epoch:36/50,Train Accuracy:50.52238845825195%
2023-04-05 22:14:30,511 - Epoch:37/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:30,766 - Epoch:38/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:31,027 - Epoch:39/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:31,287 - Epoch:40/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:31,551 - Epoch:41/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:31,814 - Epoch:42/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:32,074 - Epoch:43/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:32,336 - Epoch:44/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:32,596 - Epoch:45/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:32,862 - Epoch:46/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:33,126 - Epoch:47/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:33,388 - Epoch:48/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:33,652 - Epoch:49/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:33,892 - 
Test set: Avg. loss: 0.0346, Accuracy: 320/660 (48.48%)

2023-04-05 22:14:33,896 - fpr:[0. 0. 1.],tpr:[0.         0.00293255 1.        ],threshold:[2 1 0],auc:0.501466275659824
2023-04-05 22:14:33,896 - This is for user12
2023-04-05 22:14:34,377 - Epoch:0/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:34,636 - Epoch:1/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:34,890 - Epoch:2/50,Train Accuracy:49.10447692871094%
2023-04-05 22:14:35,133 - Epoch:3/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:35,378 - Epoch:4/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:35,622 - Epoch:5/50,Train Accuracy:50.0%
2023-04-05 22:14:35,866 - Epoch:6/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:36,111 - Epoch:7/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:36,354 - Epoch:8/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:36,595 - Epoch:9/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:36,839 - Epoch:10/50,Train Accuracy:50.44776153564453%
2023-04-05 22:14:37,073 - Epoch:11/50,Train Accuracy:51.343284606933594%
2023-04-05 22:14:37,315 - Epoch:12/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:37,555 - Epoch:13/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:37,799 - Epoch:14/50,Train Accuracy:50.52238845825195%
2023-04-05 22:14:38,048 - Epoch:15/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:38,298 - Epoch:16/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:38,540 - Epoch:17/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:38,788 - Epoch:18/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:39,031 - Epoch:19/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:39,273 - Epoch:20/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:39,532 - Epoch:21/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:39,770 - Epoch:22/50,Train Accuracy:51.49253845214844%
2023-04-05 22:14:40,012 - Epoch:23/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:40,254 - Epoch:24/50,Train Accuracy:50.223880767822266%
2023-04-05 22:14:40,492 - Epoch:25/50,Train Accuracy:51.044776916503906%
2023-04-05 22:14:40,730 - Epoch:26/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:40,969 - Epoch:27/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:41,205 - Epoch:28/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:41,442 - Epoch:29/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:41,680 - Epoch:30/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:41,918 - Epoch:31/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:42,157 - Epoch:32/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:42,404 - Epoch:33/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:42,654 - Epoch:34/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:42,903 - Epoch:35/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:43,159 - Epoch:36/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:43,414 - Epoch:37/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:43,668 - Epoch:38/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:43,918 - Epoch:39/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:44,168 - Epoch:40/50,Train Accuracy:50.82089614868164%
