2023-04-05 21:56:23,729 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 21:56:23,729 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=111, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 21:56:34,044 - Epoch:70/200,Train Accuracy:49.25373077392578%
2023-04-05 21:56:34,181 - Epoch:71/200,Train Accuracy:49.25373077392578%
2023-04-05 21:56:34,319 - Epoch:72/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:34,459 - Epoch:73/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:34,601 - Epoch:74/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:34,748 - Epoch:75/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:34,892 - Epoch:76/200,Train Accuracy:49.70149230957031%
2023-04-05 21:56:35,048 - Epoch:77/200,Train Accuracy:50.82089614868164%
2023-04-05 21:56:35,199 - Epoch:78/200,Train Accuracy:50.52238845825195%
2023-04-05 21:56:35,347 - Epoch:79/200,Train Accuracy:48.80596923828125%
2023-04-05 21:56:35,494 - Epoch:80/200,Train Accuracy:50.149253845214844%
2023-04-05 21:56:35,644 - Epoch:81/200,Train Accuracy:52.91044616699219%
2023-04-05 21:56:35,791 - Epoch:82/200,Train Accuracy:50.970149993896484%
2023-04-05 21:56:35,941 - Epoch:83/200,Train Accuracy:50.82089614868164%
2023-04-05 21:56:36,089 - Epoch:84/200,Train Accuracy:49.776119232177734%
2023-04-05 21:56:36,239 - Epoch:85/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:36,389 - Epoch:86/200,Train Accuracy:49.92537307739258%
2023-04-05 21:56:36,535 - Epoch:87/200,Train Accuracy:50.0%
2023-04-05 21:56:36,685 - Epoch:88/200,Train Accuracy:50.52238845825195%
2023-04-05 21:56:36,833 - Epoch:89/200,Train Accuracy:51.791046142578125%
2023-04-05 21:56:36,980 - Epoch:90/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:37,127 - Epoch:91/200,Train Accuracy:50.6716423034668%
2023-04-05 21:56:37,288 - Epoch:92/200,Train Accuracy:48.50746154785156%
2023-04-05 21:56:37,433 - Epoch:93/200,Train Accuracy:49.850746154785156%
2023-04-05 21:56:37,568 - Epoch:94/200,Train Accuracy:51.26865768432617%
2023-04-05 21:56:37,704 - Epoch:95/200,Train Accuracy:49.10447692871094%
2023-04-05 21:56:37,844 - Epoch:96/200,Train Accuracy:50.970149993896484%
2023-04-05 21:56:37,980 - Epoch:97/200,Train Accuracy:48.73134231567383%
2023-04-05 21:56:38,120 - Epoch:98/200,Train Accuracy:50.6716423034668%
