2023-04-20 21:52:34,926 - lr:1e-05,weight_decay:0.01,batch_size:40
2023-04-20 21:52:34,926 - CZHNet(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-20 21:58:26,870 - Epoch:75/100,Train Accuracy:50.0%
2023-04-20 21:58:31,245 - Epoch:76/100,Train Accuracy:50.0%
2023-04-20 21:58:35,717 - Epoch:77/100,Train Accuracy:50.0%
2023-04-20 21:58:40,048 - Epoch:78/100,Train Accuracy:50.0%
2023-04-20 21:58:44,449 - Epoch:79/100,Train Accuracy:50.0%
2023-04-20 21:58:49,014 - Epoch:80/100,Train Accuracy:50.0%
2023-04-20 21:58:53,489 - Epoch:81/100,Train Accuracy:50.0%
2023-04-20 21:58:57,966 - Epoch:82/100,Train Accuracy:50.0%
2023-04-20 21:59:02,427 - Epoch:83/100,Train Accuracy:50.0%
2023-04-20 21:59:06,901 - Epoch:84/100,Train Accuracy:50.0%
2023-04-20 21:59:11,293 - Epoch:85/100,Train Accuracy:50.0%
2023-04-20 21:59:15,708 - Epoch:86/100,Train Accuracy:50.0%
2023-04-20 21:59:20,107 - Epoch:87/100,Train Accuracy:50.0%
2023-04-20 21:59:24,533 - Epoch:88/100,Train Accuracy:50.0%
2023-04-20 21:59:28,913 - Epoch:89/100,Train Accuracy:50.0%
2023-04-20 21:59:33,282 - Epoch:90/100,Train Accuracy:50.0%
2023-04-20 21:59:37,752 - Epoch:91/100,Train Accuracy:50.0%
2023-04-20 21:59:42,800 - Epoch:92/100,Train Accuracy:50.0%
2023-04-20 21:59:47,173 - Epoch:93/100,Train Accuracy:50.0%
2023-04-20 21:59:51,520 - Epoch:94/100,Train Accuracy:50.0%
2023-04-20 21:59:55,947 - Epoch:95/100,Train Accuracy:50.0%
2023-04-20 22:00:00,481 - Epoch:96/100,Train Accuracy:50.0%
2023-04-20 22:00:04,871 - Epoch:97/100,Train Accuracy:50.0%
2023-04-20 22:00:09,271 - Epoch:98/100,Train Accuracy:50.0%
2023-04-20 22:00:13,662 - Epoch:99/100,Train Accuracy:50.0%
2023-04-20 22:00:22,711 - 
Test set: Avg. loss: 0.0174, Accuracy: 6244/12488 (50.00%)

2023-04-20 22:00:22,719 - fpr:[0. 1.],tpr:[0. 1.],threshold:[1 0],auc:0.5
2023-04-20 22:00:22,720 - This is for user1
2023-04-20 22:00:36,721 - Epoch:0/100,Train Accuracy:50.0%
2023-04-20 22:00:42,039 - Epoch:1/100,Train Accuracy:50.0%
2023-04-20 22:00:47,357 - Epoch:2/100,Train Accuracy:50.0%
2023-04-20 22:00:52,667 - Epoch:3/100,Train Accuracy:50.0%
2023-04-20 22:00:57,948 - Epoch:4/100,Train Accuracy:50.0%
2023-04-20 22:01:04,280 - Epoch:5/100,Train Accuracy:50.0%
2023-04-20 22:01:10,012 - Epoch:6/100,Train Accuracy:50.0%
2023-04-20 22:01:15,467 - Epoch:7/100,Train Accuracy:50.0%
2023-04-20 22:01:20,747 - Epoch:8/100,Train Accuracy:50.0%
