2023-04-17 16:41:52,066 - lr:0.0001,weight_decay:0.01,batch_size:40
2023-04-17 16:41:52,067 - FullConnect(
  (linear1): Linear(in_features=33, out_features=128, bias=True)
  (linear2): Linear(in_features=128, out_features=128, bias=True)
  (linear3): Linear(in_features=128, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=64, bias=True)
  (linear5): Linear(in_features=64, out_features=40, bias=True)
  (linear6): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-17 16:41:52,067 - This is for user0
2023-04-17 16:42:05,348 - Epoch:0/100,Train Accuracy:56.76420593261719%
2023-04-17 16:42:08,469 - Epoch:1/100,Train Accuracy:59.440765380859375%
2023-04-17 16:42:11,393 - Epoch:2/100,Train Accuracy:60.23125076293945%
2023-04-17 16:42:14,343 - Epoch:3/100,Train Accuracy:60.78771209716797%
2023-04-17 16:42:17,273 - Epoch:4/100,Train Accuracy:61.28696823120117%
2023-04-17 16:42:20,234 - Epoch:5/100,Train Accuracy:61.66487503051758%
2023-04-17 16:42:23,188 - Epoch:6/100,Train Accuracy:61.978641510009766%
2023-04-17 16:42:26,195 - Epoch:7/100,Train Accuracy:62.379085540771484%
2023-04-17 16:42:29,199 - Epoch:8/100,Train Accuracy:62.90087890625%
2023-04-17 16:42:32,167 - Epoch:9/100,Train Accuracy:63.27705001831055%
2023-04-17 16:42:35,205 - Epoch:10/100,Train Accuracy:63.575218200683594%
2023-04-17 16:42:38,232 - Epoch:11/100,Train Accuracy:64.03459930419922%
2023-04-17 16:42:41,200 - Epoch:12/100,Train Accuracy:64.19928741455078%
2023-04-17 16:42:44,150 - Epoch:13/100,Train Accuracy:64.55465698242188%
2023-04-17 16:42:47,175 - Epoch:14/100,Train Accuracy:64.84069061279297%
2023-04-17 16:42:50,200 - Epoch:15/100,Train Accuracy:65.04524230957031%
2023-04-17 16:42:53,218 - Epoch:16/100,Train Accuracy:65.17005920410156%
2023-04-17 16:42:56,240 - Epoch:17/100,Train Accuracy:65.55663299560547%
2023-04-17 16:42:59,211 - Epoch:18/100,Train Accuracy:65.77852630615234%
2023-04-17 16:43:02,182 - Epoch:19/100,Train Accuracy:66.02642059326172%
2023-04-17 16:43:05,145 - Epoch:20/100,Train Accuracy:66.18763732910156%
2023-04-17 16:43:08,158 - Epoch:21/100,Train Accuracy:66.59154510498047%
2023-04-17 16:43:11,098 - Epoch:22/100,Train Accuracy:66.6678237915039%
2023-04-17 16:43:14,074 - Epoch:23/100,Train Accuracy:66.9902572631836%
2023-04-17 16:43:17,059 - Epoch:24/100,Train Accuracy:67.20001220703125%
2023-04-17 16:43:20,031 - Epoch:25/100,Train Accuracy:67.60218811035156%
2023-04-17 16:43:22,980 - Epoch:26/100,Train Accuracy:67.71660614013672%
2023-04-17 16:43:25,912 - Epoch:27/100,Train Accuracy:67.87261962890625%
2023-04-17 16:43:28,913 - Epoch:28/100,Train Accuracy:68.10838317871094%
2023-04-17 16:43:31,857 - Epoch:29/100,Train Accuracy:68.30253601074219%
2023-04-17 16:43:34,826 - Epoch:30/100,Train Accuracy:68.57469940185547%
2023-04-17 16:43:37,802 - Epoch:31/100,Train Accuracy:68.86072540283203%
2023-04-17 16:43:40,769 - Epoch:32/100,Train Accuracy:68.94393920898438%
2023-04-17 16:43:43,759 - Epoch:33/100,Train Accuracy:69.20743560791016%
2023-04-17 16:43:46,753 - Epoch:34/100,Train Accuracy:69.47439575195312%
