2023-04-21 15:03:52,122 - lr:0.001,weight_decay:0.01,batch_size:64
2023-04-21 15:03:52,122 - CZHNet(
  (linear1): Linear(in_features=33, out_features=32, bias=True)
  (linear2): Linear(in_features=32, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=32, bias=True)
  (linear5): Linear(in_features=64, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=32, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-21 15:03:52,122 - This is for user0
2023-04-21 15:05:52,009 - Epoch:68/100,Train Accuracy:71.87705993652344%
2023-04-21 15:05:53,620 - Epoch:69/100,Train Accuracy:71.93946838378906%
2023-04-21 15:05:55,245 - Epoch:70/100,Train Accuracy:71.89785766601562%
2023-04-21 15:05:57,059 - Epoch:71/100,Train Accuracy:72.18562316894531%
2023-04-21 15:05:58,888 - Epoch:72/100,Train Accuracy:72.15789031982422%
2023-04-21 15:06:00,712 - Epoch:73/100,Train Accuracy:72.09721374511719%
2023-04-21 15:06:02,543 - Epoch:74/100,Train Accuracy:72.0868148803711%
2023-04-21 15:06:04,359 - Epoch:75/100,Train Accuracy:72.22549438476562%
2023-04-21 15:06:06,176 - Epoch:76/100,Train Accuracy:72.34857940673828%
2023-04-21 15:06:07,983 - Epoch:77/100,Train Accuracy:72.48552703857422%
2023-04-21 15:06:09,780 - Epoch:78/100,Train Accuracy:72.53406524658203%
2023-04-21 15:06:11,584 - Epoch:79/100,Train Accuracy:72.51846313476562%
2023-04-21 15:06:13,403 - Epoch:80/100,Train Accuracy:72.80622863769531%
2023-04-21 15:06:15,113 - Epoch:81/100,Train Accuracy:72.4560546875%
2023-04-21 15:06:16,713 - Epoch:82/100,Train Accuracy:72.53059387207031%
2023-04-21 15:06:18,319 - Epoch:83/100,Train Accuracy:72.71781921386719%
2023-04-21 15:06:19,924 - Epoch:84/100,Train Accuracy:72.78715515136719%
2023-04-21 15:06:21,557 - Epoch:85/100,Train Accuracy:72.68488311767578%
2023-04-21 15:06:23,158 - Epoch:86/100,Train Accuracy:72.77155303955078%
2023-04-21 15:06:24,754 - Epoch:87/100,Train Accuracy:72.64501190185547%
2023-04-21 15:06:26,380 - Epoch:88/100,Train Accuracy:73.09745788574219%
2023-04-21 15:06:28,011 - Epoch:89/100,Train Accuracy:72.99864959716797%
2023-04-21 15:06:29,698 - Epoch:90/100,Train Accuracy:72.8200912475586%
2023-04-21 15:06:31,369 - Epoch:91/100,Train Accuracy:73.08879089355469%
2023-04-21 15:06:32,999 - Epoch:92/100,Train Accuracy:72.95877838134766%
2023-04-21 15:06:34,608 - Epoch:93/100,Train Accuracy:73.59324645996094%
2023-04-21 15:06:36,227 - Epoch:94/100,Train Accuracy:73.25694274902344%
2023-04-21 15:06:37,861 - Epoch:95/100,Train Accuracy:73.1303939819336%
2023-04-21 15:06:39,482 - Epoch:96/100,Train Accuracy:73.02118682861328%
2023-04-21 15:06:41,099 - Epoch:97/100,Train Accuracy:73.40776062011719%
2023-04-21 15:06:42,715 - Epoch:98/100,Train Accuracy:73.50830078125%
2023-04-21 15:06:44,347 - Epoch:99/100,Train Accuracy:73.38695526123047%
2023-04-21 15:06:53,259 - 
Test set: Avg. loss: 0.0144, Accuracy: 7121/12488 (57.02%)

2023-04-21 15:06:53,268 - fpr:[0.         0.40038437 1.        ],tpr:[0.         0.54083921 1.        ],threshold:[2 1 0],auc:0.5702274183215887
2023-04-21 15:06:53,268 - This is for user1
2023-04-21 15:07:04,161 - Epoch:0/100,Train Accuracy:56.45161437988281%
2023-04-21 15:07:06,115 - Epoch:1/100,Train Accuracy:59.59275817871094%
2023-04-21 15:07:08,081 - Epoch:2/100,Train Accuracy:60.442256927490234%
2023-04-21 15:07:10,059 - Epoch:3/100,Train Accuracy:60.867008209228516%
2023-04-21 15:07:12,036 - Epoch:4/100,Train Accuracy:61.135345458984375%
2023-04-21 15:07:13,983 - Epoch:5/100,Train Accuracy:61.825565338134766%
2023-04-21 15:07:15,942 - Epoch:6/100,Train Accuracy:61.9834098815918%
2023-04-21 15:07:17,898 - Epoch:7/100,Train Accuracy:62.31488800048828%
2023-04-21 15:07:19,850 - Epoch:8/100,Train Accuracy:62.55022430419922%
2023-04-21 15:07:21,826 - Epoch:9/100,Train Accuracy:62.831478118896484%
2023-04-21 15:07:23,784 - Epoch:10/100,Train Accuracy:63.2734489440918%
2023-04-21 15:07:25,747 - Epoch:11/100,Train Accuracy:63.520259857177734%
2023-04-21 15:07:27,707 - Epoch:12/100,Train Accuracy:63.942142486572266%
2023-04-21 15:07:29,643 - Epoch:13/100,Train Accuracy:64.05120086669922%
2023-04-21 15:07:31,585 - Epoch:14/100,Train Accuracy:64.22769927978516%
2023-04-21 15:07:33,523 - Epoch:15/100,Train Accuracy:64.5462646484375%
2023-04-21 15:07:35,443 - Epoch:16/100,Train Accuracy:64.8791732788086%
2023-04-21 15:07:37,376 - Epoch:17/100,Train Accuracy:64.88922119140625%
2023-04-21 15:07:39,303 - Epoch:18/100,Train Accuracy:65.20491027832031%
2023-04-21 15:07:41,239 - Epoch:19/100,Train Accuracy:65.43307495117188%
2023-04-21 15:07:43,177 - Epoch:20/100,Train Accuracy:65.66984558105469%
2023-04-21 15:07:45,114 - Epoch:21/100,Train Accuracy:65.62105560302734%
2023-04-21 15:07:47,036 - Epoch:22/100,Train Accuracy:65.96544647216797%
2023-04-21 15:07:48,985 - Epoch:23/100,Train Accuracy:66.14337921142578%
2023-04-21 15:07:50,909 - Epoch:24/100,Train Accuracy:66.33423614501953%
2023-04-21 15:07:52,844 - Epoch:25/100,Train Accuracy:66.48633575439453%
2023-04-21 15:07:54,771 - Epoch:26/100,Train Accuracy:66.58821868896484%
2023-04-21 15:07:56,696 - Epoch:27/100,Train Accuracy:66.94839477539062%
2023-04-21 15:07:58,637 - Epoch:28/100,Train Accuracy:66.96562194824219%
2023-04-21 15:08:00,569 - Epoch:29/100,Train Accuracy:67.20238494873047%
2023-04-21 15:08:02,496 - Epoch:30/100,Train Accuracy:67.07467651367188%
2023-04-21 15:08:04,413 - Epoch:31/100,Train Accuracy:67.52525329589844%
2023-04-21 15:08:06,326 - Epoch:32/100,Train Accuracy:67.50516510009766%
2023-04-21 15:08:08,239 - Epoch:33/100,Train Accuracy:67.60848236083984%
2023-04-21 15:08:10,167 - Epoch:34/100,Train Accuracy:67.6888427734375%
2023-04-21 15:08:12,088 - Epoch:35/100,Train Accuracy:67.9184341430664%
2023-04-21 15:08:13,999 - Epoch:36/100,Train Accuracy:68.03323364257812%
2023-04-21 15:08:15,949 - Epoch:37/100,Train Accuracy:68.04615020751953%
2023-04-21 15:08:17,905 - Epoch:38/100,Train Accuracy:68.1178970336914%
2023-04-21 15:08:19,857 - Epoch:39/100,Train Accuracy:68.06193542480469%
2023-04-21 15:08:21,817 - Epoch:40/100,Train Accuracy:68.30874633789062%
2023-04-21 15:08:23,767 - Epoch:41/100,Train Accuracy:68.51969146728516%
2023-04-21 15:08:25,714 - Epoch:42/100,Train Accuracy:68.66461944580078%
