2023-04-21 09:43:27,411 - lr:0.01,weight_decay:0.01,batch_size:40
2023-04-21 09:43:27,412 - CZHNet(
  (linear1): Linear(in_features=33, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=64, bias=True)
  (linear5): Linear(in_features=64, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-21 09:43:27,412 - This is for user0
2023-04-21 09:43:38,417 - Epoch:0/100,Train Accuracy:57.62576675415039%
2023-04-21 09:43:40,444 - Epoch:1/100,Train Accuracy:58.917240142822266%
2023-04-21 09:43:42,552 - Epoch:2/100,Train Accuracy:58.96231460571289%
2023-04-21 09:43:44,596 - Epoch:3/100,Train Accuracy:59.17900466918945%
2023-04-21 09:43:46,812 - Epoch:4/100,Train Accuracy:59.65052032470703%
2023-04-21 09:43:49,186 - Epoch:5/100,Train Accuracy:59.78400421142578%
2023-04-21 09:43:51,551 - Epoch:6/100,Train Accuracy:59.8568115234375%
2023-04-21 09:43:53,967 - Epoch:7/100,Train Accuracy:60.2191162109375%
2023-04-21 09:43:56,392 - Epoch:8/100,Train Accuracy:60.104705810546875%
2023-04-21 09:43:58,807 - Epoch:9/100,Train Accuracy:60.253787994384766%
2023-04-21 09:44:01,268 - Epoch:10/100,Train Accuracy:60.3577995300293%
2023-04-21 09:44:03,787 - Epoch:11/100,Train Accuracy:60.10817337036133%
2023-04-21 09:44:06,229 - Epoch:12/100,Train Accuracy:60.555419921875%
2023-04-21 09:44:08,600 - Epoch:13/100,Train Accuracy:60.53288650512695%
2023-04-21 09:44:11,006 - Epoch:14/100,Train Accuracy:60.78251266479492%
2023-04-21 09:44:13,410 - Epoch:15/100,Train Accuracy:60.70450210571289%
2023-04-21 09:44:15,806 - Epoch:16/100,Train Accuracy:60.794647216796875%
2023-04-21 09:44:18,225 - Epoch:17/100,Train Accuracy:60.68716812133789%
2023-04-21 09:44:20,589 - Epoch:18/100,Train Accuracy:60.85358810424805%
2023-04-21 09:44:22,995 - Epoch:19/100,Train Accuracy:60.83451843261719%
2023-04-21 09:44:25,359 - Epoch:20/100,Train Accuracy:60.598758697509766%
2023-04-21 09:44:27,737 - Epoch:21/100,Train Accuracy:60.91079330444336%
2023-04-21 09:44:30,137 - Epoch:22/100,Train Accuracy:60.7443733215332%
2023-04-21 09:44:32,532 - Epoch:23/100,Train Accuracy:60.83278274536133%
2023-04-21 09:44:34,928 - Epoch:24/100,Train Accuracy:61.05120849609375%
2023-04-21 09:44:37,324 - Epoch:25/100,Train Accuracy:60.93333053588867%
2023-04-21 09:44:39,724 - Epoch:26/100,Train Accuracy:61.148284912109375%
2023-04-21 09:44:42,156 - Epoch:27/100,Train Accuracy:61.10668182373047%
2023-04-21 09:44:44,577 - Epoch:28/100,Train Accuracy:61.11881637573242%
2023-04-21 09:44:46,985 - Epoch:29/100,Train Accuracy:61.09627914428711%
2023-04-21 09:44:49,383 - Epoch:30/100,Train Accuracy:61.15522003173828%
