2023-04-17 17:23:39,393 - lr:0.0001,weight_decay:0.01,batch_size:40
2023-04-17 17:23:39,393 - FullConnect(
  (linear1): Linear(in_features=33, out_features=128, bias=True)
  (linear2): Linear(in_features=128, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=40, bias=True)
  (linear4): Linear(in_features=40, out_features=40, bias=True)
  (linear5): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-17 17:23:39,393 - This is for user0
2023-04-17 17:23:50,787 - Epoch:0/100,Train Accuracy:56.70353317260742%
2023-04-17 17:23:53,168 - Epoch:1/100,Train Accuracy:59.225807189941406%
2023-04-17 17:23:55,502 - Epoch:2/100,Train Accuracy:59.766666412353516%
2023-04-17 17:23:57,839 - Epoch:3/100,Train Accuracy:60.09257125854492%
2023-04-17 17:24:00,267 - Epoch:4/100,Train Accuracy:60.56062316894531%
2023-04-17 17:24:02,630 - Epoch:5/100,Train Accuracy:60.99400329589844%
2023-04-17 17:24:05,023 - Epoch:6/100,Train Accuracy:61.30430221557617%
2023-04-17 17:24:07,388 - Epoch:7/100,Train Accuracy:61.663143157958984%
2023-04-17 17:24:09,738 - Epoch:8/100,Train Accuracy:61.96824264526367%
2023-04-17 17:24:12,052 - Epoch:9/100,Train Accuracy:62.21613693237305%
2023-04-17 17:24:14,370 - Epoch:10/100,Train Accuracy:62.583641052246094%
2023-04-17 17:24:16,689 - Epoch:11/100,Train Accuracy:62.78126525878906%
2023-04-17 17:24:19,028 - Epoch:12/100,Train Accuracy:63.0828971862793%
2023-04-17 17:24:21,348 - Epoch:13/100,Train Accuracy:63.26665115356445%
2023-04-17 17:24:23,669 - Epoch:14/100,Train Accuracy:63.41746520996094%
2023-04-17 17:24:26,037 - Epoch:15/100,Train Accuracy:63.58908462524414%
2023-04-17 17:24:28,362 - Epoch:16/100,Train Accuracy:63.819644927978516%
2023-04-17 17:24:30,686 - Epoch:17/100,Train Accuracy:63.97566223144531%
2023-04-17 17:24:33,012 - Epoch:18/100,Train Accuracy:64.04673767089844%
2023-04-17 17:24:35,358 - Epoch:19/100,Train Accuracy:64.2478256225586%
2023-04-17 17:24:37,678 - Epoch:20/100,Train Accuracy:64.38130187988281%
2023-04-17 17:24:39,982 - Epoch:21/100,Train Accuracy:64.75228118896484%
2023-04-17 17:24:42,335 - Epoch:22/100,Train Accuracy:64.77655029296875%
2023-04-17 17:24:44,659 - Epoch:23/100,Train Accuracy:64.87882995605469%
2023-04-17 17:24:47,038 - Epoch:24/100,Train Accuracy:65.06431579589844%
2023-04-17 17:24:49,369 - Epoch:25/100,Train Accuracy:65.3347396850586%
2023-04-17 17:24:51,687 - Epoch:26/100,Train Accuracy:65.3399429321289%
2023-04-17 17:24:54,001 - Epoch:27/100,Train Accuracy:65.59823608398438%
2023-04-17 17:24:56,331 - Epoch:28/100,Train Accuracy:65.54969787597656%
2023-04-17 17:24:58,674 - Epoch:29/100,Train Accuracy:65.80452728271484%
2023-04-17 17:25:01,152 - Epoch:30/100,Train Accuracy:65.91027069091797%
2023-04-17 17:25:03,502 - Epoch:31/100,Train Accuracy:66.02815246582031%
2023-04-17 17:25:05,832 - Epoch:32/100,Train Accuracy:66.10443115234375%
2023-04-17 17:25:08,169 - Epoch:33/100,Train Accuracy:66.20323944091797%
2023-04-17 17:25:10,484 - Epoch:34/100,Train Accuracy:66.39045715332031%
2023-04-17 17:25:12,789 - Epoch:35/100,Train Accuracy:66.31591796875%
2023-04-17 17:25:15,133 - Epoch:36/100,Train Accuracy:66.48406982421875%
2023-04-17 17:25:17,434 - Epoch:37/100,Train Accuracy:66.6192855834961%
2023-04-17 17:25:19,760 - Epoch:38/100,Train Accuracy:66.75796508789062%
2023-04-17 17:25:22,069 - Epoch:39/100,Train Accuracy:66.9555892944336%
