2023-04-19 11:44:13,291 - lr:0.0001,weight_decay:0.01,batch_size:40
2023-04-19 11:44:13,291 - FullConnect(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 11:44:13,292 - This is for user0
2023-04-19 11:50:45,300 - Epoch:68/100,Train Accuracy:59.59678268432617%
2023-04-19 11:50:51,246 - Epoch:69/100,Train Accuracy:59.62451934814453%
2023-04-19 11:50:57,192 - Epoch:70/100,Train Accuracy:60.0284309387207%
2023-04-19 11:51:03,168 - Epoch:71/100,Train Accuracy:60.234718322753906%
2023-04-19 11:51:09,142 - Epoch:72/100,Train Accuracy:59.97468948364258%
2023-04-19 11:51:15,114 - Epoch:73/100,Train Accuracy:59.90188217163086%
2023-04-19 11:51:21,094 - Epoch:74/100,Train Accuracy:60.14630889892578%
2023-04-19 11:51:27,077 - Epoch:75/100,Train Accuracy:60.10643768310547%
2023-04-19 11:51:33,018 - Epoch:76/100,Train Accuracy:59.8394775390625%
2023-04-19 11:51:38,981 - Epoch:77/100,Train Accuracy:59.78400421142578%
2023-04-19 11:51:44,988 - Epoch:78/100,Train Accuracy:59.75279998779297%
2023-04-19 11:51:50,945 - Epoch:79/100,Train Accuracy:59.6851921081543%
2023-04-19 11:51:56,890 - Epoch:80/100,Train Accuracy:59.90361785888672%
2023-04-19 11:52:02,996 - Epoch:81/100,Train Accuracy:59.14433288574219%
2023-04-19 11:52:09,524 - Epoch:82/100,Train Accuracy:59.46156692504883%
2023-04-19 11:52:16,633 - Epoch:83/100,Train Accuracy:59.8394775390625%
2023-04-19 11:52:23,712 - Epoch:84/100,Train Accuracy:60.10817337036133%
2023-04-19 11:52:30,721 - Epoch:85/100,Train Accuracy:60.10123825073242%
2023-04-19 11:52:36,719 - Epoch:86/100,Train Accuracy:60.139373779296875%
2023-04-19 11:52:42,696 - Epoch:87/100,Train Accuracy:59.8568115234375%
2023-04-19 11:52:48,723 - Epoch:88/100,Train Accuracy:59.477169036865234%
2023-04-19 11:52:54,809 - Epoch:89/100,Train Accuracy:59.981624603271484%
2023-04-19 11:53:00,824 - Epoch:90/100,Train Accuracy:60.15150833129883%
2023-04-19 11:53:06,816 - Epoch:91/100,Train Accuracy:59.78400421142578%
2023-04-19 11:53:12,809 - Epoch:92/100,Train Accuracy:59.46156692504883%
2023-04-19 11:53:18,921 - Epoch:93/100,Train Accuracy:59.65225601196289%
2023-04-19 11:53:25,029 - Epoch:94/100,Train Accuracy:59.54130935668945%
2023-04-19 11:53:31,348 - Epoch:95/100,Train Accuracy:59.93135070800781%
2023-04-19 11:53:37,481 - Epoch:96/100,Train Accuracy:59.634918212890625%
2023-04-19 11:53:43,480 - Epoch:97/100,Train Accuracy:60.20524978637695%
2023-04-19 11:53:49,496 - Epoch:98/100,Train Accuracy:60.26592254638672%
2023-04-19 11:53:56,099 - Epoch:99/100,Train Accuracy:60.19658279418945%
2023-04-19 11:54:05,059 - 
Test set: Avg. loss: -0.0155, Accuracy: 7703/12488 (61.68%)

2023-04-19 11:54:05,069 - fpr:[0.         0.40855221 1.        ],tpr:[0.         0.64221653 1.        ],threshold:[2 1 0],auc:0.6168321588725176
2023-04-19 11:54:05,069 - This is for user1
2023-04-19 11:54:21,085 - Epoch:0/100,Train Accuracy:48.80036544799805%
2023-04-19 11:54:28,981 - Epoch:1/100,Train Accuracy:50.12340545654297%
2023-04-19 11:54:36,785 - Epoch:2/100,Train Accuracy:51.41057205200195%
2023-04-19 11:54:43,937 - Epoch:3/100,Train Accuracy:52.471012115478516%
2023-04-19 11:54:52,683 - Epoch:4/100,Train Accuracy:53.326255798339844%
2023-04-19 11:55:01,083 - Epoch:5/100,Train Accuracy:54.47709655761719%
2023-04-19 11:55:08,416 - Epoch:6/100,Train Accuracy:54.514408111572266%
2023-04-19 11:55:15,627 - Epoch:7/100,Train Accuracy:55.56623840332031%
2023-04-19 11:55:22,831 - Epoch:8/100,Train Accuracy:55.57197952270508%
2023-04-19 11:55:30,029 - Epoch:9/100,Train Accuracy:55.69681930541992%
2023-04-19 11:55:37,651 - Epoch:10/100,Train Accuracy:56.73573684692383%
2023-04-19 11:55:45,864 - Epoch:11/100,Train Accuracy:57.33698654174805%
2023-04-19 11:55:53,392 - Epoch:12/100,Train Accuracy:57.81196212768555%
2023-04-19 11:56:00,749 - Epoch:13/100,Train Accuracy:58.10182571411133%
2023-04-19 11:56:08,837 - Epoch:14/100,Train Accuracy:58.347206115722656%
2023-04-19 11:56:16,406 - Epoch:15/100,Train Accuracy:58.793479919433594%
2023-04-19 11:56:24,652 - Epoch:16/100,Train Accuracy:58.77482604980469%
2023-04-19 11:56:32,023 - Epoch:17/100,Train Accuracy:58.938411712646484%
2023-04-19 11:56:39,370 - Epoch:18/100,Train Accuracy:58.80495834350586%
2023-04-19 11:56:46,811 - Epoch:19/100,Train Accuracy:59.19096374511719%
2023-04-19 11:56:54,364 - Epoch:20/100,Train Accuracy:58.64711380004883%
2023-04-19 11:57:02,124 - Epoch:21/100,Train Accuracy:58.063079833984375%
2023-04-19 11:57:09,743 - Epoch:22/100,Train Accuracy:58.113304138183594%
2023-04-19 11:57:17,281 - Epoch:23/100,Train Accuracy:58.69159698486328%
2023-04-19 11:57:24,809 - Epoch:24/100,Train Accuracy:58.868099212646484%
2023-04-19 11:57:33,225 - Epoch:25/100,Train Accuracy:58.11473846435547%
