user,test_acc,auc,precision,recall,f1_score
1,70.90908813476562%,0.707452725250278,0.7029972752043597,0.7565982404692082,0.7288135593220338
2,85.45454406738281%,0.8543836586105775,0.8592375366568915,0.8592375366568915,0.8592375366568915
3,68.18181610107422%,0.6791384366467792,0.6692506459948321,0.7595307917888563,0.7115384615384616
4,70.90908813476562%,0.7069471129537871,0.6976127320954907,0.7712609970674487,0.7325905292479109
5,68.93939208984375%,0.6874810395388816,0.6827956989247311,0.7448680351906158,0.7124824684431976
6,66.21212005615234%,0.6634138942259076,0.6915584415584416,0.624633431085044,0.6563944530046225
7,73.33333587646484%,0.7319243604004451,0.7272727272727273,0.7741935483870968,0.7500000000000001
8,66.06060791015625%,0.6598240469208211,0.667621776504298,0.6832844574780058,0.6753623188405796
9,73.78787994384766%,0.7382445141065831,0.7560975609756098,0.7272727272727273,0.7414050822122571
10,70.1515121459961%,0.6988067549802811,0.6855670103092784,0.7800586510263929,0.7297668038408779
11,76.36363983154297%,0.7611487511376277,0.7402597402597403,0.8357771260997068,0.7851239669421488
12,73.03030395507812%,0.729092931540095,0.7270194986072424,0.7653958944281525,0.7457142857142858
13,67.57575988769531%,0.6753969056527453,0.6862170087976539,0.6862170087976539,0.6862170087976539
14,70.0%,0.6979472140762463,0.6906666666666667,0.7595307917888563,0.7234636871508379
15,73.93939208984375%,0.7409242592779857,0.7770491803278688,0.6950146627565983,0.7337461300309599
16,62.727272033691406%,0.6272626150267974,0.6426426426426426,0.6275659824046921,0.6350148367952523
17,66.51515197753906%,0.664020628981697,0.6685393258426966,0.6979472140762464,0.6829268292682927
18,66.51515197753906%,0.6687733845687127,0.7290076335877863,0.5601173020527859,0.6334991708126035
19,67.42424011230469%,0.6731216503185358,0.6769662921348315,0.7067448680351907,0.6915351506456242
20,67.1212158203125%,0.673728385074325,0.7183098591549296,0.5982404692082112,0.6528
21,72.1212158203125%,0.7197896652846597,0.7162534435261708,0.7624633431085044,0.7386363636363636
22,82.7272720336914%,0.8285974314895338,0.864951768488746,0.7888563049853372,0.8251533742331288
23,65.45454406738281%,0.6542623116594195,0.6666666666666666,0.6627565982404692,0.6647058823529411
24,67.57575988769531%,0.6741834361411669,0.673972602739726,0.7214076246334311,0.6968838526912182
25,67.1212158203125%,0.6716048134290625,0.6901840490797546,0.6598240469208211,0.674662668665667
26,69.24242401123047%,0.6931438972595813,0.715625,0.6715542521994134,0.6928895612708017
27,68.93939208984375%,0.6923349175851956,0.7463768115942029,0.6041055718475073,0.6677471636952997
28,68.93939208984375%,0.6868743047830923,0.6770833333333334,0.7624633431085044,0.7172413793103448
