user,test_acc,auc,precision,recall,f1_score
1,68.33333587646484%,0.683335018707655,0.6976047904191617,0.6832844574780058,0.6903703703703703
2,76.81818389892578%,0.7676711497623623,0.7716763005780347,0.782991202346041,0.777292576419214
3,86.81818389892578%,0.8679846293861867,0.8713450292397661,0.873900293255132,0.8726207906295754
4,96.36363983154297%,0.9638992820305389,0.9731343283582089,0.9560117302052786,0.9644970414201183
5,80.1515121459961%,0.8042774800283142,0.8723404255319149,0.7214076246334311,0.7897271268057785
6,68.63636016845703%,0.6875821619981798,0.7161290322580646,0.6510263929618768,0.6820276497695852
7,78.78787994384766%,0.7899686520376176,0.8406779661016949,0.7272727272727273,0.779874213836478
8,83.48484802246094%,0.8335018707654971,0.8186813186813187,0.873900293255132,0.8453900709219859
9,77.2727279663086%,0.7694407928000809,0.7381546134663342,0.8680351906158358,0.7978436657681941
10,82.8787841796875%,0.827232278289008,0.8097826086956522,0.873900293255132,0.840620592383639
11,76.51515197753906%,0.7659520679542926,0.790625,0.7419354838709677,0.7655068078668684
12,75.90908813476562%,0.7576600262918394,0.75,0.8005865102639296,0.7744680851063829
13,73.78787994384766%,0.7379411467286884,0.7514970059880239,0.7360703812316716,0.7437037037037038
14,71.51515197753906%,0.7129133380523814,0.7018469656992085,0.7800586510263929,0.7388888888888889
15,67.42424011230469%,0.6730205278592375,0.6759776536312849,0.7096774193548387,0.6924177396280401
16,80.30303192138672%,0.8024067145312974,0.8022922636103151,0.8211143695014663,0.8115942028985507
17,83.03030395507812%,0.829608656082516,0.8262108262108262,0.8504398826979472,0.838150289017341
18,81.81818389892578%,0.8207098796642734,0.8850174216027874,0.7448680351906158,0.8089171974522292
19,72.8787841796875%,0.7280311457174639,0.7314285714285714,0.750733137829912,0.7409551374819102
20,84.09091186523438%,0.8400748306198808,0.8333333333333334,0.8651026392961877,0.8489208633093526
21,76.36363983154297%,0.7633734452421883,0.7712609970674487,0.7712609970674487,0.7712609970674486
