user,test_acc,auc,precision,recall,f1_score
0,63.52827072143555%,0.6353644148376268,0.6438690766976063,0.630019120458891,0.6368688088910365
1,60.95552062988281%,0.6095203480850013,0.6170821413976297,0.6115836371000405,0.6143205858421481
2,58.30955123901367%,0.5823015655972077,0.5852869846402587,0.6238690219732874,0.6039624608967674
3,60.03220748901367%,0.6001919544470709,0.5968968664435655,0.6290477717217057,0.6125507336871683
4,66.38900756835938%,0.662687301534152,0.6421858684302123,0.7589469354175237,0.6957013574660633
5,60.51887893676758%,0.6051821100900481,0.610840108401084,0.579136690647482,0.594566077552097
6,64.69893646240234%,0.6466203935250131,0.6502835538752363,0.6168559473998805,0.6331288343558282
7,59.96272277832031%,0.6012575549055358,0.6509383378016086,0.4478052379195869,0.5305944055944056
8,59.42841720581055%,0.5953496636737701,0.6168280871670703,0.5349081364829397,0.5729547371380377
9,59.49799346923828%,0.5954830642330643,0.6106430155210643,0.5472972972972973,0.5772374764200378
