user,test_acc,auc,precision,recall,f1_score
0,68.21160125732422%,0.6811140470821275,0.6669513236549958,0.7466539196940727,0.7045557059088859
1,64.92998504638672%,0.648883270272366,0.649609375,0.6735520453624949,0.66136408828793
2,62.854007720947266%,0.628094097834686,0.6313152400835073,0.6514433433864714,0.6412213740458015
3,66.24798583984375%,0.6618790769963869,0.6299212598425197,0.7951266431548574,0.7029478458049887
4,71.07455444335938%,0.709724455711505,0.6856735566642908,0.7914438502673797,0.7347718159251481
5,64.6801986694336%,0.6467986957561399,0.6505007907221929,0.6341212744090442,0.6422066094197242
6,68.35891723632812%,0.6856703709577077,0.633259423503326,0.8535564853556485,0.7270875763747454
7,64.36160278320312%,0.6414526544427973,0.605604017975152,0.8450756178531907,0.7055743763473976
8,64.2628173828125%,0.6394839715182421,0.6112200863083562,0.8178477690288714,0.699595868881904
9,63.85542297363281%,0.6369798226415874,0.6102216748768473,0.787758346581876,0.6877168632893825
