user,test_acc,auc,precision,recall,f1_score
7,81.81818389892578%,0.8198529411764705,0.7777777777777778,0.875,0.823529411764706
9,87.8787841796875%,0.8823529411764706,0.8,1.0,0.888888888888889
12,60.60606002807617%,0.6102941176470589,0.5714285714285714,0.75,0.6486486486486486
15,69.69696807861328%,0.6966911764705882,0.6875,0.6875,0.6875
16,57.57575607299805%,0.5772058823529412,0.5555555555555556,0.625,0.5882352941176471
20,57.57575607299805%,0.5845588235294117,0.5384615384615384,0.875,0.6666666666666667
21,45.45454406738281%,0.4632352941176471,0.46153846153846156,0.75,0.5714285714285714
23,39.39393997192383%,0.39338235294117646,0.375,0.375,0.375
29,54.54545593261719%,0.5496323529411764,0.5238095238095238,0.6875,0.5945945945945946
35,63.6363639831543%,0.6433823529411764,0.5833333333333334,0.875,0.7000000000000001
