user,test_acc,auc,precision,recall,f1_score
7,86.36363983154297%,0.8636869248660127,0.8724035608308606,0.8621700879765396,0.8672566371681417
9,92.7272720336914%,0.9271918293052888,0.9296187683284457,0.9296187683284457,0.9296187683284457
12,69.8484878540039%,0.6974921630094044,0.7005649717514124,0.7272727272727273,0.7136690647482015
15,64.09091186523438%,0.6409647082617049,0.6566265060240963,0.6392961876832844,0.6478454680534917
16,64.54545593261719%,0.6431388411366165,0.6411609498680739,0.7126099706744868,0.675
20,79.69696807861328%,0.796844979269896,0.8053097345132744,0.8005865102639296,0.8029411764705883
21,72.7272720336914%,0.7265648700576398,0.7306590257879656,0.7478005865102639,0.7391304347826088
23,70.1515121459961%,0.6997168571139651,0.6945945945945946,0.7536656891495601,0.7229254571026724
29,71.06060791015625%,0.708413388613611,0.6984126984126984,0.7741935483870968,0.7343532684283727
35,65.90908813476562%,0.6574476691273133,0.6584699453551912,0.7067448680351907,0.6817538896746818
