user,test_acc,auc,precision,recall,f1_score
7,85.1515121459961%,<function auc at 0x7f6478b9f400>,0.8670694864048338,0.841642228739003,0.8541666666666667
9,93.33333587646484%,<function auc at 0x7f6478b9f400>,0.9255014326647565,0.9472140762463344,0.936231884057971
12,70.0%,<function auc at 0x7f6478b9f400>,0.7025495750708215,0.7272727272727273,0.7146974063400575
15,65.30303192138672%,<function auc at 0x7f6478b9f400>,0.6590909090909091,0.6803519061583577,0.6695526695526695
16,64.8484878540039%,<function auc at 0x7f6478b9f400>,0.6469002695417789,0.7038123167155426,0.6741573033707865
20,81.21212005615234%,<function auc at 0x7f6478b9f400>,0.8056338028169014,0.8387096774193549,0.8218390804597702
21,69.69696807861328%,<function auc at 0x7f6478b9f400>,0.6985915492957746,0.7272727272727273,0.7126436781609196
23,67.57575988769531%,<function auc at 0x7f6478b9f400>,0.660759493670886,0.7653958944281525,0.7092391304347826
29,67.7272720336914%,<function auc at 0x7f6478b9f400>,0.6693121693121693,0.7419354838709677,0.7037552155771906
35,65.75757598876953%,<function auc at 0x7f6478b9f400>,0.6696165191740413,0.6656891495601173,0.6676470588235293
