user,test_acc,auc,precision,recall,f1_score
7,77.2727279663086%,0.7805555555555556,0.8620689655172413,0.6944444444444444,0.7692307692307692
9,86.36363983154297%,0.8611111111111112,0.8648648648648649,0.8888888888888888,0.8767123287671232
12,54.54545593261719%,0.5666666666666667,0.6666666666666666,0.3333333333333333,0.4444444444444444
15,69.69696807861328%,0.6888888888888889,0.7,0.7777777777777778,0.7368421052631577
16,48.48484802246094%,0.4833333333333333,0.5294117647058824,0.5,0.5142857142857143
20,60.60606002807617%,0.5777777777777777,0.5925925925925926,0.8888888888888888,0.711111111111111
21,60.60606002807617%,0.5944444444444446,0.6190476190476191,0.7222222222222222,0.6666666666666666
23,63.6363639831543%,0.625,0.6428571428571429,0.75,0.6923076923076924
29,63.6363639831543%,0.6166666666666667,0.625,0.8333333333333334,0.7142857142857143
35,63.6363639831543%,0.6194444444444445,0.6304347826086957,0.8055555555555556,0.7073170731707318
