user,test_acc,auc,precision,recall,f1_score
7,84.8484878540039%,0.8492647058823528,0.8235294117647058,0.875,0.8484848484848485
9,84.8484878540039%,0.8529411764705882,0.7619047619047619,1.0,0.8648648648648648
12,66.66666412353516%,0.6709558823529411,0.6190476190476191,0.8125,0.7027027027027026
15,51.51515197753906%,0.5165441176470588,0.5,0.5625,0.5294117647058824
16,48.48484802246094%,0.4871323529411764,0.47368421052631576,0.5625,0.5142857142857142
20,66.66666412353516%,0.6727941176470589,0.6086956521739131,0.875,0.717948717948718
21,45.45454406738281%,0.46139705882352944,0.4583333333333333,0.6875,0.5499999999999999
23,42.42424392700195%,0.42647058823529405,0.42105263157894735,0.5,0.45714285714285713
29,48.48484802246094%,0.4871323529411764,0.47368421052631576,0.5625,0.5142857142857142
35,54.54545593261719%,0.5514705882352942,0.5217391304347826,0.75,0.6153846153846153
