user,test_acc,auc,precision,recall,f1_score
7,81.81818389892578%,<function auc at 0x7f0c5c5e3400>,0.8333333333333334,0.8333333333333334,0.8333333333333334
9,84.8484878540039%,<function auc at 0x7f0c5c5e3400>,0.8421052631578947,0.8888888888888888,0.8648648648648649
12,53.030303955078125%,<function auc at 0x7f0c5c5e3400>,0.6,0.4166666666666667,0.49180327868852464
15,65.1515121459961%,<function auc at 0x7f0c5c5e3400>,0.6756756756756757,0.6944444444444444,0.684931506849315
16,50.0%,<function auc at 0x7f0c5c5e3400>,0.5428571428571428,0.5277777777777778,0.5352112676056338
20,72.7272720336914%,<function auc at 0x7f0c5c5e3400>,0.6875,0.9166666666666666,0.7857142857142857
21,48.48484802246094%,<function auc at 0x7f0c5c5e3400>,0.5294117647058824,0.5,0.5142857142857143
23,62.121212005615234%,<function auc at 0x7f0c5c5e3400>,0.627906976744186,0.75,0.6835443037974683
29,50.0%,<function auc at 0x7f0c5c5e3400>,0.5365853658536586,0.6111111111111112,0.5714285714285715
35,65.1515121459961%,<function auc at 0x7f0c5c5e3400>,0.6444444444444445,0.8055555555555556,0.7160493827160493
