2023-03-20 18:09:29,128 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-03-20 18:09:29,128 - LSTM_RNN(
  (lstm): LSTM(39, 128, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=128, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
)
2023-03-20 18:10:48,805 - Epoch:70/200,Train Accuracy:61.044776916503906%
2023-03-20 18:10:49,931 - Epoch:71/200,Train Accuracy:61.49253845214844%
2023-03-20 18:10:51,068 - Epoch:72/200,Train Accuracy:61.26865768432617%
2023-03-20 18:10:52,189 - Epoch:73/200,Train Accuracy:60.0%
2023-03-20 18:10:53,323 - Epoch:74/200,Train Accuracy:62.53731155395508%
2023-03-20 18:10:54,424 - Epoch:75/200,Train Accuracy:61.417911529541016%
2023-03-20 18:10:55,549 - Epoch:76/200,Train Accuracy:60.07462692260742%
2023-03-20 18:10:56,677 - Epoch:77/200,Train Accuracy:61.417911529541016%
2023-03-20 18:10:57,830 - Epoch:78/200,Train Accuracy:60.597015380859375%
2023-03-20 18:10:58,961 - Epoch:79/200,Train Accuracy:60.52238845825195%
2023-03-20 18:11:00,114 - Epoch:80/200,Train Accuracy:62.164180755615234%
2023-03-20 18:11:01,268 - Epoch:81/200,Train Accuracy:60.82089614868164%
2023-03-20 18:11:02,475 - Epoch:82/200,Train Accuracy:60.149253845214844%
2023-03-20 18:11:03,640 - Epoch:83/200,Train Accuracy:62.3880615234375%
2023-03-20 18:11:04,826 - Epoch:84/200,Train Accuracy:60.82089614868164%
2023-03-20 18:11:06,002 - Epoch:85/200,Train Accuracy:62.91044616699219%
2023-03-20 18:11:07,182 - Epoch:86/200,Train Accuracy:61.26865768432617%
2023-03-20 18:11:08,336 - Epoch:87/200,Train Accuracy:60.74626922607422%
2023-03-20 18:11:09,475 - Epoch:88/200,Train Accuracy:62.08955383300781%
2023-03-20 18:11:10,667 - Epoch:89/200,Train Accuracy:62.91044616699219%
2023-03-20 18:11:11,886 - Epoch:90/200,Train Accuracy:60.52238845825195%
2023-03-20 18:11:13,085 - Epoch:91/200,Train Accuracy:61.86567306518555%
2023-03-20 18:11:14,310 - Epoch:92/200,Train Accuracy:61.791046142578125%
2023-03-20 18:11:15,499 - Epoch:93/200,Train Accuracy:62.98507308959961%
2023-03-20 18:11:16,681 - Epoch:94/200,Train Accuracy:58.955223083496094%
2023-03-20 18:11:17,782 - Epoch:95/200,Train Accuracy:61.044776916503906%
2023-03-20 18:11:18,885 - Epoch:96/200,Train Accuracy:63.208953857421875%
2023-03-20 18:11:20,008 - Epoch:97/200,Train Accuracy:61.56716537475586%
2023-03-20 18:11:21,155 - Epoch:98/200,Train Accuracy:62.01492691040039%
2023-03-20 18:11:22,363 - Epoch:99/200,Train Accuracy:63.656715393066406%
2023-03-20 18:11:23,511 - Epoch:100/200,Train Accuracy:62.01492691040039%
2023-03-20 18:11:24,595 - Epoch:101/200,Train Accuracy:63.208953857421875%
2023-03-20 18:11:25,666 - Epoch:102/200,Train Accuracy:61.11940383911133%
2023-03-20 18:11:26,738 - Epoch:103/200,Train Accuracy:63.2835807800293%
2023-03-20 18:11:27,880 - Epoch:104/200,Train Accuracy:62.835819244384766%
2023-03-20 18:11:28,977 - Epoch:105/200,Train Accuracy:62.761192321777344%
2023-03-20 18:11:30,049 - Epoch:106/200,Train Accuracy:60.89552307128906%
2023-03-20 18:11:31,137 - Epoch:107/200,Train Accuracy:63.88059616088867%
2023-03-20 18:11:32,244 - Epoch:108/200,Train Accuracy:62.835819244384766%
2023-03-20 18:11:33,330 - Epoch:109/200,Train Accuracy:62.53731155395508%
2023-03-20 18:11:34,424 - Epoch:110/200,Train Accuracy:62.835819244384766%
2023-03-20 18:11:35,529 - Epoch:111/200,Train Accuracy:61.7164192199707%
2023-03-20 18:11:36,662 - Epoch:112/200,Train Accuracy:62.164180755615234%
2023-03-20 18:11:37,767 - Epoch:113/200,Train Accuracy:61.11940383911133%
2023-03-20 18:11:38,849 - Epoch:114/200,Train Accuracy:63.80596923828125%
