2023-04-19 11:19:26,877 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-19 11:19:26,877 - LSTMModel(
  (input_layer): Linear(in_features=39, out_features=128, bias=True)
  (lstm_layers): LSTM(128, 128, num_layers=3, batch_first=True)
  (dropout_layer): Dropout(p=0.5, inplace=False)
  (bn_layer): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc_layer): Linear(in_features=128, out_features=64, bias=True)
  (softmax_layer): Linear(in_features=64, out_features=2, bias=True)
  (softmax): Softmax(dim=1)
)
2023-04-19 11:19:26,877 - This is for user7
2023-04-19 11:20:43,778 - Epoch:68/200,Train Accuracy:65.97014617919922%
2023-04-19 11:20:44,916 - Epoch:69/200,Train Accuracy:66.71641540527344%
2023-04-19 11:20:46,077 - Epoch:70/200,Train Accuracy:67.01492309570312%
2023-04-19 11:20:47,209 - Epoch:71/200,Train Accuracy:67.01492309570312%
2023-04-19 11:20:48,335 - Epoch:72/200,Train Accuracy:67.46268463134766%
2023-04-19 11:20:49,485 - Epoch:73/200,Train Accuracy:67.16417694091797%
2023-04-19 11:20:50,712 - Epoch:74/200,Train Accuracy:66.94029998779297%
2023-04-19 11:20:51,849 - Epoch:75/200,Train Accuracy:66.49253845214844%
2023-04-19 11:20:52,992 - Epoch:76/200,Train Accuracy:67.01492309570312%
2023-04-19 11:20:54,137 - Epoch:77/200,Train Accuracy:67.53731536865234%
2023-04-19 11:20:55,364 - Epoch:78/200,Train Accuracy:67.31343078613281%
2023-04-19 11:20:56,504 - Epoch:79/200,Train Accuracy:67.3880615234375%
2023-04-19 11:20:57,639 - Epoch:80/200,Train Accuracy:67.46268463134766%
2023-04-19 11:20:58,772 - Epoch:81/200,Train Accuracy:67.46268463134766%
2023-04-19 11:20:59,929 - Epoch:82/200,Train Accuracy:67.3880615234375%
2023-04-19 11:21:01,079 - Epoch:83/200,Train Accuracy:67.76119232177734%
2023-04-19 11:21:02,245 - Epoch:84/200,Train Accuracy:67.91044616699219%
2023-04-19 11:21:03,410 - Epoch:85/200,Train Accuracy:68.13433074951172%
2023-04-19 11:21:04,557 - Epoch:86/200,Train Accuracy:68.6567153930664%
2023-04-19 11:21:05,698 - Epoch:87/200,Train Accuracy:69.10447692871094%
2023-04-19 11:21:06,838 - Epoch:88/200,Train Accuracy:69.10447692871094%
2023-04-19 11:21:07,982 - Epoch:89/200,Train Accuracy:69.10447692871094%
