2023-04-19 16:18:36,706 - lr:0.001,weight_decay:1e-06,batch_size:20
2023-04-19 16:18:36,707 - LSTM_RNN(
  (lstm): LSTM(39, 256, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=256, out_features=64, bias=True)
  (lin2): Linear(in_features=64, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 16:21:02,468 - Epoch:69/200,Train Accuracy:68.6567153930664%
2023-04-19 16:21:04,566 - Epoch:70/200,Train Accuracy:67.31343078613281%
2023-04-19 16:21:06,651 - Epoch:71/200,Train Accuracy:68.20895385742188%
2023-04-19 16:21:08,763 - Epoch:72/200,Train Accuracy:69.40298461914062%
2023-04-19 16:21:10,875 - Epoch:73/200,Train Accuracy:68.35820770263672%
2023-04-19 16:21:12,929 - Epoch:74/200,Train Accuracy:67.68656921386719%
2023-04-19 16:21:14,957 - Epoch:75/200,Train Accuracy:69.47761535644531%
2023-04-19 16:21:16,997 - Epoch:76/200,Train Accuracy:68.58209228515625%
2023-04-19 16:21:19,028 - Epoch:77/200,Train Accuracy:68.6567153930664%
2023-04-19 16:21:21,133 - Epoch:78/200,Train Accuracy:69.17910766601562%
2023-04-19 16:21:23,237 - Epoch:79/200,Train Accuracy:69.55223846435547%
2023-04-19 16:21:25,357 - Epoch:80/200,Train Accuracy:69.85074615478516%
2023-04-19 16:21:27,502 - Epoch:81/200,Train Accuracy:68.50746154785156%
2023-04-19 16:21:29,578 - Epoch:82/200,Train Accuracy:70.07462310791016%
2023-04-19 16:21:31,661 - Epoch:83/200,Train Accuracy:69.47761535644531%
2023-04-19 16:21:33,741 - Epoch:84/200,Train Accuracy:67.23880767822266%
2023-04-19 16:21:35,839 - Epoch:85/200,Train Accuracy:69.17910766601562%
2023-04-19 16:21:38,210 - Epoch:86/200,Train Accuracy:69.25373077392578%
2023-04-19 16:21:40,362 - Epoch:87/200,Train Accuracy:68.35820770263672%
2023-04-19 16:21:42,449 - Epoch:88/200,Train Accuracy:68.28358459472656%
2023-04-19 16:21:44,523 - Epoch:89/200,Train Accuracy:69.32836151123047%
2023-04-19 16:21:46,618 - Epoch:90/200,Train Accuracy:68.7313461303711%
2023-04-19 16:21:48,778 - Epoch:91/200,Train Accuracy:70.223876953125%
2023-04-19 16:21:50,984 - Epoch:92/200,Train Accuracy:69.32836151123047%
2023-04-19 16:21:53,087 - Epoch:93/200,Train Accuracy:68.7313461303711%
2023-04-19 16:21:55,167 - Epoch:94/200,Train Accuracy:69.70149230957031%
2023-04-19 16:21:57,249 - Epoch:95/200,Train Accuracy:70.07462310791016%
2023-04-19 16:21:59,341 - Epoch:96/200,Train Accuracy:68.4328384399414%
2023-04-19 16:22:01,450 - Epoch:97/200,Train Accuracy:70.223876953125%
2023-04-19 16:22:03,602 - Epoch:98/200,Train Accuracy:69.55223846435547%
2023-04-19 16:22:05,709 - Epoch:99/200,Train Accuracy:69.02985382080078%
2023-04-19 16:22:07,772 - Epoch:100/200,Train Accuracy:68.58209228515625%
2023-04-19 16:22:09,812 - Epoch:101/200,Train Accuracy:69.776123046875%
2023-04-19 16:22:12,070 - Epoch:102/200,Train Accuracy:71.19403076171875%
2023-04-19 16:22:14,404 - Epoch:103/200,Train Accuracy:69.25373077392578%
2023-04-19 16:22:16,552 - Epoch:104/200,Train Accuracy:69.62686920166016%
2023-04-19 16:22:18,651 - Epoch:105/200,Train Accuracy:69.02985382080078%
2023-04-19 16:22:20,771 - Epoch:106/200,Train Accuracy:68.6567153930664%
2023-04-19 16:22:22,865 - Epoch:107/200,Train Accuracy:69.17910766601562%
2023-04-19 16:22:24,957 - Epoch:108/200,Train Accuracy:68.6567153930664%
2023-04-19 16:22:27,041 - Epoch:109/200,Train Accuracy:68.13433074951172%
2023-04-19 16:22:29,122 - Epoch:110/200,Train Accuracy:69.02985382080078%
2023-04-19 16:22:31,182 - Epoch:111/200,Train Accuracy:69.55223846435547%
2023-04-19 16:22:33,246 - Epoch:112/200,Train Accuracy:68.20895385742188%
2023-04-19 16:22:35,360 - Epoch:113/200,Train Accuracy:68.9552230834961%
2023-04-19 16:22:37,468 - Epoch:114/200,Train Accuracy:68.9552230834961%
2023-04-19 16:22:39,552 - Epoch:115/200,Train Accuracy:70.44776153564453%
2023-04-19 16:22:41,687 - Epoch:116/200,Train Accuracy:70.07462310791016%
2023-04-19 16:22:44,001 - Epoch:117/200,Train Accuracy:69.62686920166016%
2023-04-19 16:22:46,259 - Epoch:118/200,Train Accuracy:69.85074615478516%
2023-04-19 16:22:48,485 - Epoch:119/200,Train Accuracy:70.14925384521484%
2023-04-19 16:22:50,686 - Epoch:120/200,Train Accuracy:68.80596923828125%
2023-04-19 16:22:52,790 - Epoch:121/200,Train Accuracy:69.776123046875%
2023-04-19 16:22:54,848 - Epoch:122/200,Train Accuracy:70.74626922607422%
2023-04-19 16:22:57,099 - Epoch:123/200,Train Accuracy:69.55223846435547%
2023-04-19 16:22:59,174 - Epoch:124/200,Train Accuracy:69.25373077392578%
2023-04-19 16:23:01,231 - Epoch:125/200,Train Accuracy:69.776123046875%
2023-04-19 16:23:03,283 - Epoch:126/200,Train Accuracy:70.37313079833984%
2023-04-19 16:23:05,362 - Epoch:127/200,Train Accuracy:69.10447692871094%
2023-04-19 16:23:07,497 - Epoch:128/200,Train Accuracy:69.25373077392578%
2023-04-19 16:23:09,610 - Epoch:129/200,Train Accuracy:68.80596923828125%
