user,test_acc,auc
0,54.5723876953125%,0.5457238949391415
1,54.83761215209961%,0.5483761380622367
2,51.84004592895508%,0.5184004636337293
3,54.022315979003906%,0.5402231668437832
4,58.12147903442383%,0.581214786313041
