user,test_acc,auc
0,50.15214538574219%,0.5015214606021781
1,49.85731887817383%,0.4985731757032206
2,49.92031478881836%,0.4992031295276731
3,50.3613166809082%,0.5036131774707757
4,51.32609558105469%,0.513260959186478
