2023-04-08 17:20:33,757 - lr:0.0001,weight_decay:4,batch_size:20
2023-04-08 17:20:33,757 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-08 17:20:33,757 - This is for user12
2023-04-08 17:20:46,438 - Epoch:68/300,Train Accuracy:81.64179229736328%
2023-04-08 17:20:46,609 - Epoch:69/300,Train Accuracy:80.223876953125%
2023-04-08 17:20:46,777 - Epoch:70/300,Train Accuracy:82.6119384765625%
2023-04-08 17:20:46,945 - Epoch:71/300,Train Accuracy:81.79104614257812%
2023-04-08 17:20:47,114 - Epoch:72/300,Train Accuracy:82.68656921386719%
2023-04-08 17:20:47,284 - Epoch:73/300,Train Accuracy:81.79104614257812%
2023-04-08 17:20:47,451 - Epoch:74/300,Train Accuracy:82.01492309570312%
2023-04-08 17:20:47,619 - Epoch:75/300,Train Accuracy:82.23880767822266%
2023-04-08 17:20:47,786 - Epoch:76/300,Train Accuracy:83.6567153930664%
2023-04-08 17:20:47,953 - Epoch:77/300,Train Accuracy:83.13433074951172%
2023-04-08 17:20:48,125 - Epoch:78/300,Train Accuracy:83.6567153930664%
2023-04-08 17:20:48,304 - Epoch:79/300,Train Accuracy:82.31343078613281%
2023-04-08 17:20:48,472 - Epoch:80/300,Train Accuracy:84.02985382080078%
2023-04-08 17:20:48,640 - Epoch:81/300,Train Accuracy:83.28358459472656%
2023-04-08 17:20:48,808 - Epoch:82/300,Train Accuracy:83.9552230834961%
2023-04-08 17:20:48,979 - Epoch:83/300,Train Accuracy:83.6567153930664%
2023-04-08 17:20:49,147 - Epoch:84/300,Train Accuracy:84.17910766601562%
2023-04-08 17:20:49,317 - Epoch:85/300,Train Accuracy:84.55223846435547%
2023-04-08 17:20:49,486 - Epoch:86/300,Train Accuracy:83.88059997558594%
2023-04-08 17:20:49,655 - Epoch:87/300,Train Accuracy:84.62686920166016%
2023-04-08 17:20:49,823 - Epoch:88/300,Train Accuracy:84.85074615478516%
2023-04-08 17:20:49,993 - Epoch:89/300,Train Accuracy:85.0%
