2023-03-02 21:38:26,343 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-03-02 21:38:26,343 - FullConnect(
  (linear1): Linear(in_features=39, out_features=40, bias=True)
  (linear2): Linear(in_features=40, out_features=40, bias=True)
  (linear3): Linear(in_features=40, out_features=30, bias=True)
  (linear4): Linear(in_features=30, out_features=30, bias=True)
  (linear5): Linear(in_features=30, out_features=30, bias=True)
  (linear10): Linear(in_features=30, out_features=2, bias=True)
  (relu): ReLU()
)
2023-03-02 21:38:26,343 - This is for user7
2023-03-02 21:38:26,668 - Epoch:0/200,Train Accuracy:46.94029998779297%
2023-03-02 21:38:26,783 - Epoch:1/200,Train Accuracy:51.94029998779297%
2023-03-02 21:38:26,898 - Epoch:2/200,Train Accuracy:48.582088470458984%
2023-03-02 21:38:27,010 - Epoch:3/200,Train Accuracy:47.6119384765625%
2023-03-02 21:38:27,120 - Epoch:4/200,Train Accuracy:50.970149993896484%
2023-03-02 21:38:27,240 - Epoch:5/200,Train Accuracy:50.89552307128906%
2023-03-02 21:38:27,354 - Epoch:6/200,Train Accuracy:54.25373077392578%
2023-03-02 21:38:27,464 - Epoch:7/200,Train Accuracy:50.74626922607422%
2023-03-02 21:38:27,575 - Epoch:8/200,Train Accuracy:53.50746154785156%
2023-03-02 21:38:27,686 - Epoch:9/200,Train Accuracy:53.05970001220703%
2023-03-02 21:38:27,797 - Epoch:10/200,Train Accuracy:52.761192321777344%
2023-03-02 21:38:27,913 - Epoch:11/200,Train Accuracy:53.208953857421875%
2023-03-02 21:38:28,029 - Epoch:12/200,Train Accuracy:53.13432693481445%
2023-03-02 21:38:28,146 - Epoch:13/200,Train Accuracy:51.7164192199707%
2023-03-02 21:38:28,260 - Epoch:14/200,Train Accuracy:56.94029998779297%
2023-03-02 21:38:28,371 - Epoch:15/200,Train Accuracy:54.70149230957031%
2023-03-02 21:38:28,484 - Epoch:16/200,Train Accuracy:56.19403076171875%
2023-03-02 21:38:28,596 - Epoch:17/200,Train Accuracy:55.970149993896484%
2023-03-02 21:38:28,707 - Epoch:18/200,Train Accuracy:56.56716537475586%
2023-03-02 21:38:28,818 - Epoch:19/200,Train Accuracy:55.6716423034668%
2023-03-02 21:38:28,929 - Epoch:20/200,Train Accuracy:55.597015380859375%
