2023-03-02 20:51:29,505 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-03-02 20:51:29,505 - FullConnect(
  (linear1): Linear(in_features=39, out_features=40, bias=True)
  (linear2): Linear(in_features=40, out_features=40, bias=True)
  (linear3): Linear(in_features=40, out_features=40, bias=True)
  (linear4): Linear(in_features=40, out_features=30, bias=True)
  (linear5): Linear(in_features=30, out_features=30, bias=True)
  (linear10): Linear(in_features=30, out_features=2, bias=True)
  (relu): ReLU()
)
2023-03-02 20:51:29,505 - This is for user7
2023-03-02 20:51:30,121 - Epoch:0/200,Train Accuracy:47.01492691040039%
2023-03-02 20:51:30,233 - Epoch:1/200,Train Accuracy:48.13432693481445%
2023-03-02 20:51:30,344 - Epoch:2/200,Train Accuracy:50.52238845825195%
2023-03-02 20:51:30,455 - Epoch:3/200,Train Accuracy:49.92537307739258%
2023-03-02 20:51:30,566 - Epoch:4/200,Train Accuracy:50.223880767822266%
2023-03-02 20:51:30,676 - Epoch:5/200,Train Accuracy:50.89552307128906%
2023-03-02 20:51:30,797 - Epoch:6/200,Train Accuracy:54.17910385131836%
2023-03-02 20:51:30,910 - Epoch:7/200,Train Accuracy:53.35820770263672%
2023-03-02 20:51:31,043 - Epoch:8/200,Train Accuracy:54.92537307739258%
2023-03-02 20:51:31,158 - Epoch:9/200,Train Accuracy:55.149253845214844%
2023-03-02 20:51:31,269 - Epoch:10/200,Train Accuracy:55.52238845825195%
2023-03-02 20:51:31,380 - Epoch:11/200,Train Accuracy:56.94029998779297%
2023-03-02 20:51:31,491 - Epoch:12/200,Train Accuracy:58.43283462524414%
2023-03-02 20:51:31,602 - Epoch:13/200,Train Accuracy:59.17910385131836%
2023-03-02 20:51:31,715 - Epoch:14/200,Train Accuracy:58.582088470458984%
2023-03-02 20:51:31,830 - Epoch:15/200,Train Accuracy:57.46268844604492%
2023-03-02 20:51:31,941 - Epoch:16/200,Train Accuracy:57.31343460083008%
2023-03-02 20:51:32,065 - Epoch:17/200,Train Accuracy:59.55223846435547%
2023-03-02 20:51:32,192 - Epoch:18/200,Train Accuracy:57.164180755615234%
2023-03-02 20:51:32,338 - Epoch:19/200,Train Accuracy:57.238807678222656%
2023-03-02 20:51:32,496 - Epoch:20/200,Train Accuracy:58.35820770263672%
