2023-04-06 22:29:32,575 - lr:0.0001,weight_decay:10,batch_size:20
2023-04-06 22:29:32,575 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-06 22:29:32,575 - This is for user7
2023-04-06 22:29:32,968 - Epoch:0/300,Train Accuracy:50.74626922607422%
2023-04-06 22:29:33,149 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:33,328 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:33,508 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:33,686 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:33,854 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:34,021 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:34,191 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:34,359 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-06 22:29:34,529 - Epoch:9/300,Train Accuracy:57.01492691040039%
2023-04-06 22:29:34,699 - Epoch:10/300,Train Accuracy:74.62686920166016%
2023-04-06 22:29:34,868 - Epoch:11/300,Train Accuracy:77.46268463134766%
2023-04-06 22:29:35,040 - Epoch:12/300,Train Accuracy:78.50746154785156%
2023-04-06 22:29:35,206 - Epoch:13/300,Train Accuracy:79.32836151123047%
2023-04-06 22:29:35,372 - Epoch:14/300,Train Accuracy:79.70149230957031%
2023-04-06 22:29:35,538 - Epoch:15/300,Train Accuracy:81.2686538696289%
2023-04-06 22:29:35,704 - Epoch:16/300,Train Accuracy:82.01492309570312%
2023-04-06 22:29:35,870 - Epoch:17/300,Train Accuracy:81.64179229736328%
2023-04-06 22:29:36,037 - Epoch:18/300,Train Accuracy:82.76119232177734%
