2023-04-09 15:54:29,548 - lr:0.0001,weight_decay:9,batch_size:20
2023-04-09 15:54:29,548 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-09 15:54:29,549 - This is for user20
2023-04-09 15:54:29,930 - Epoch:0/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:30,107 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:30,281 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:30,456 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:30,633 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:30,805 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:30,976 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:31,149 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:31,322 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:31,497 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:31,670 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:31,847 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:32,025 - Epoch:12/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:32,207 - Epoch:13/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:32,384 - Epoch:14/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:32,565 - Epoch:15/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:32,742 - Epoch:16/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:32,952 - Epoch:17/300,Train Accuracy:50.82089614868164%
2023-04-09 15:54:33,131 - Epoch:18/300,Train Accuracy:50.82089614868164%
