2023-04-11 14:22:00,594 - lr:0.0001,weight_decay:8,batch_size:20
2023-04-11 14:22:00,594 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-11 14:22:00,594 - This is for user23
2023-04-11 14:22:00,986 - Epoch:0/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:01,164 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:01,339 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:01,516 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:01,695 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:01,872 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:02,047 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:02,221 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:02,392 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:02,564 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:02,735 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:02,906 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:03,079 - Epoch:12/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:03,253 - Epoch:13/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:03,468 - Epoch:14/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:03,640 - Epoch:15/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:03,813 - Epoch:16/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:03,990 - Epoch:17/300,Train Accuracy:50.82089614868164%
2023-04-11 14:22:04,169 - Epoch:18/300,Train Accuracy:50.82089614868164%
