2023-04-07 22:50:36,144 - lr:0.0001,weight_decay:9,batch_size:20
2023-04-07 22:50:36,144 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-07 22:50:36,144 - This is for user7
2023-04-07 22:50:36,527 - Epoch:0/300,Train Accuracy:49.25373077392578%
2023-04-07 22:50:36,702 - Epoch:1/300,Train Accuracy:49.850746154785156%
2023-04-07 22:50:36,878 - Epoch:2/300,Train Accuracy:49.47761154174805%
2023-04-07 22:50:37,057 - Epoch:3/300,Train Accuracy:49.10447692871094%
2023-04-07 22:50:37,249 - Epoch:4/300,Train Accuracy:51.7164192199707%
2023-04-07 22:50:37,433 - Epoch:5/300,Train Accuracy:51.7164192199707%
2023-04-07 22:50:37,605 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-07 22:50:37,816 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-07 22:50:38,028 - Epoch:8/300,Train Accuracy:50.89552307128906%
2023-04-07 22:50:38,214 - Epoch:9/300,Train Accuracy:51.417911529541016%
2023-04-07 22:50:38,391 - Epoch:10/300,Train Accuracy:56.86567306518555%
2023-04-07 22:50:38,564 - Epoch:11/300,Train Accuracy:68.7313461303711%
2023-04-07 22:50:38,731 - Epoch:12/300,Train Accuracy:76.2686538696289%
2023-04-07 22:50:38,898 - Epoch:13/300,Train Accuracy:77.53731536865234%
2023-04-07 22:50:39,064 - Epoch:14/300,Train Accuracy:79.47761535644531%
2023-04-07 22:50:39,230 - Epoch:15/300,Train Accuracy:79.17910766601562%
2023-04-07 22:50:39,396 - Epoch:16/300,Train Accuracy:81.0447769165039%
2023-04-07 22:50:39,563 - Epoch:17/300,Train Accuracy:80.67163848876953%
2023-04-07 22:50:39,730 - Epoch:18/300,Train Accuracy:81.5671615600586%
