2023-04-08 17:38:59,130 - lr:0.0001,weight_decay:7,batch_size:20
2023-04-08 17:38:59,130 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-08 17:38:59,130 - This is for user12
2023-04-08 17:38:59,539 - Epoch:0/300,Train Accuracy:49.17910385131836%
2023-04-08 17:38:59,732 - Epoch:1/300,Train Accuracy:49.17910385131836%
2023-04-08 17:38:59,912 - Epoch:2/300,Train Accuracy:49.17910385131836%
2023-04-08 17:39:00,097 - Epoch:3/300,Train Accuracy:49.17910385131836%
2023-04-08 17:39:00,278 - Epoch:4/300,Train Accuracy:49.17910385131836%
2023-04-08 17:39:00,459 - Epoch:5/300,Train Accuracy:49.17910385131836%
2023-04-08 17:39:00,633 - Epoch:6/300,Train Accuracy:49.25373077392578%
2023-04-08 17:39:00,826 - Epoch:7/300,Train Accuracy:49.70149230957031%
2023-04-08 17:39:01,014 - Epoch:8/300,Train Accuracy:49.3283576965332%
2023-04-08 17:39:01,194 - Epoch:9/300,Train Accuracy:50.0%
2023-04-08 17:39:01,371 - Epoch:10/300,Train Accuracy:52.91044616699219%
2023-04-08 17:39:01,546 - Epoch:11/300,Train Accuracy:61.791046142578125%
2023-04-08 17:39:01,724 - Epoch:12/300,Train Accuracy:63.2835807800293%
2023-04-08 17:39:01,931 - Epoch:13/300,Train Accuracy:67.98507690429688%
2023-04-08 17:39:02,123 - Epoch:14/300,Train Accuracy:70.52238464355469%
2023-04-08 17:39:02,294 - Epoch:15/300,Train Accuracy:70.82089233398438%
2023-04-08 17:39:02,476 - Epoch:16/300,Train Accuracy:70.67163848876953%
2023-04-08 17:39:02,653 - Epoch:17/300,Train Accuracy:71.19403076171875%
2023-04-08 17:39:02,828 - Epoch:18/300,Train Accuracy:73.20895385742188%
