2023-04-11 13:53:52,952 - lr:0.0001,weight_decay:6,batch_size:20
2023-04-11 13:53:52,953 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-11 13:53:52,953 - This is for user21
2023-04-11 13:53:53,334 - Epoch:0/300,Train Accuracy:49.17910385131836%
2023-04-11 13:53:53,508 - Epoch:1/300,Train Accuracy:49.17910385131836%
2023-04-11 13:53:53,679 - Epoch:2/300,Train Accuracy:48.955223083496094%
2023-04-11 13:53:53,852 - Epoch:3/300,Train Accuracy:50.0%
2023-04-11 13:53:54,030 - Epoch:4/300,Train Accuracy:48.955223083496094%
2023-04-11 13:53:54,209 - Epoch:5/300,Train Accuracy:49.3283576965332%
2023-04-11 13:53:54,398 - Epoch:6/300,Train Accuracy:48.582088470458984%
2023-04-11 13:53:54,588 - Epoch:7/300,Train Accuracy:53.582088470458984%
2023-04-11 13:53:54,776 - Epoch:8/300,Train Accuracy:51.86567306518555%
2023-04-11 13:53:54,963 - Epoch:9/300,Train Accuracy:55.149253845214844%
2023-04-11 13:53:55,147 - Epoch:10/300,Train Accuracy:56.7164192199707%
2023-04-11 13:53:55,322 - Epoch:11/300,Train Accuracy:66.5671615600586%
2023-04-11 13:53:55,501 - Epoch:12/300,Train Accuracy:69.70149230957031%
2023-04-11 13:53:55,678 - Epoch:13/300,Train Accuracy:70.223876953125%
2023-04-11 13:53:55,863 - Epoch:14/300,Train Accuracy:71.2686538696289%
2023-04-11 13:53:56,045 - Epoch:15/300,Train Accuracy:71.79104614257812%
2023-04-11 13:53:56,223 - Epoch:16/300,Train Accuracy:72.83582305908203%
2023-04-11 13:53:56,404 - Epoch:17/300,Train Accuracy:72.83582305908203%
2023-04-11 13:53:56,590 - Epoch:18/300,Train Accuracy:73.58209228515625%
