2023-04-07 23:32:11,261 - lr:0.0001,weight_decay:10,batch_size:20
2023-04-07 23:32:11,261 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-07 23:32:11,261 - This is for user9
2023-04-07 23:32:11,635 - Epoch:0/300,Train Accuracy:49.17910385131836%
2023-04-07 23:32:11,834 - Epoch:1/300,Train Accuracy:49.3283576965332%
2023-04-07 23:32:12,021 - Epoch:2/300,Train Accuracy:49.55223846435547%
2023-04-07 23:32:12,194 - Epoch:3/300,Train Accuracy:49.776119232177734%
2023-04-07 23:32:12,364 - Epoch:4/300,Train Accuracy:54.55223846435547%
2023-04-07 23:32:12,532 - Epoch:5/300,Train Accuracy:71.19403076171875%
2023-04-07 23:32:12,698 - Epoch:6/300,Train Accuracy:80.97014617919922%
2023-04-07 23:32:12,865 - Epoch:7/300,Train Accuracy:87.31343078613281%
2023-04-07 23:32:13,034 - Epoch:8/300,Train Accuracy:87.91044616699219%
2023-04-07 23:32:13,202 - Epoch:9/300,Train Accuracy:89.10447692871094%
2023-04-07 23:32:13,369 - Epoch:10/300,Train Accuracy:88.9552230834961%
2023-04-07 23:32:13,544 - Epoch:11/300,Train Accuracy:89.776123046875%
2023-04-07 23:32:13,732 - Epoch:12/300,Train Accuracy:89.32836151123047%
2023-04-07 23:32:13,920 - Epoch:13/300,Train Accuracy:90.223876953125%
2023-04-07 23:32:14,108 - Epoch:14/300,Train Accuracy:90.29850769042969%
2023-04-07 23:32:14,280 - Epoch:15/300,Train Accuracy:90.59701538085938%
2023-04-07 23:32:14,451 - Epoch:16/300,Train Accuracy:90.89552307128906%
2023-04-07 23:32:14,617 - Epoch:17/300,Train Accuracy:91.3432846069336%
2023-04-07 23:32:14,787 - Epoch:18/300,Train Accuracy:91.2686538696289%
