2023-04-06 18:31:05,531 - lr:0.0001,weight_decay:2,batch_size:20
2023-04-06 18:31:05,531 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-06 18:31:05,532 - This is for user7
2023-04-06 18:31:05,953 - Epoch:0/300,Train Accuracy:49.402984619140625%
2023-04-06 18:31:06,135 - Epoch:1/300,Train Accuracy:50.223880767822266%
2023-04-06 18:31:06,317 - Epoch:2/300,Train Accuracy:50.597015380859375%
2023-04-06 18:31:06,498 - Epoch:3/300,Train Accuracy:50.74626922607422%
2023-04-06 18:31:06,681 - Epoch:4/300,Train Accuracy:50.29850769042969%
2023-04-06 18:31:06,860 - Epoch:5/300,Train Accuracy:50.970149993896484%
2023-04-06 18:31:07,041 - Epoch:6/300,Train Accuracy:51.417911529541016%
2023-04-06 18:31:07,219 - Epoch:7/300,Train Accuracy:50.52238845825195%
2023-04-06 18:31:07,404 - Epoch:8/300,Train Accuracy:50.223880767822266%
2023-04-06 18:31:07,590 - Epoch:9/300,Train Accuracy:50.37313461303711%
2023-04-06 18:31:07,772 - Epoch:10/300,Train Accuracy:51.26865768432617%
2023-04-06 18:31:07,950 - Epoch:11/300,Train Accuracy:50.37313461303711%
2023-04-06 18:31:08,137 - Epoch:12/300,Train Accuracy:49.776119232177734%
2023-04-06 18:31:08,328 - Epoch:13/300,Train Accuracy:50.597015380859375%
2023-04-06 18:31:08,540 - Epoch:14/300,Train Accuracy:49.55223846435547%
2023-04-06 18:31:08,722 - Epoch:15/300,Train Accuracy:50.74626922607422%
2023-04-06 18:31:08,900 - Epoch:16/300,Train Accuracy:51.19403076171875%
2023-04-06 18:31:09,074 - Epoch:17/300,Train Accuracy:50.970149993896484%
2023-04-06 18:31:09,248 - Epoch:18/300,Train Accuracy:51.19403076171875%
