2023-04-24 16:43:59,744 - lr:0.0001,weight_decay:9,batch_size:20
2023-04-24 16:43:59,744 - FNN(
  (input): Linear(in_features=39, out_features=64, bias=True)
  (hidden): Linear(in_features=64, out_features=64, bias=True)
  (output): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-24 16:43:59,744 - This is for user20
2023-04-24 16:44:00,007 - Epoch:0/300,Train Accuracy:57.01492691040039%
2023-04-24 16:44:00,076 - Epoch:1/300,Train Accuracy:64.70149230957031%
2023-04-24 16:44:00,146 - Epoch:2/300,Train Accuracy:68.35820770263672%
2023-04-24 16:44:00,216 - Epoch:3/300,Train Accuracy:69.62686920166016%
2023-04-24 16:44:00,285 - Epoch:4/300,Train Accuracy:69.85074615478516%
2023-04-24 16:44:00,355 - Epoch:5/300,Train Accuracy:70.0%
2023-04-24 16:44:00,424 - Epoch:6/300,Train Accuracy:70.223876953125%
2023-04-24 16:44:00,494 - Epoch:7/300,Train Accuracy:70.07462310791016%
2023-04-24 16:44:00,563 - Epoch:8/300,Train Accuracy:70.07462310791016%
2023-04-24 16:44:00,632 - Epoch:9/300,Train Accuracy:70.59701538085938%
2023-04-24 16:44:00,700 - Epoch:10/300,Train Accuracy:70.67163848876953%
2023-04-24 16:44:00,770 - Epoch:11/300,Train Accuracy:71.3432846069336%
2023-04-24 16:44:00,838 - Epoch:12/300,Train Accuracy:71.79104614257812%
2023-04-24 16:44:00,908 - Epoch:13/300,Train Accuracy:72.83582305908203%
2023-04-24 16:44:00,977 - Epoch:14/300,Train Accuracy:73.20895385742188%
2023-04-24 16:44:01,045 - Epoch:15/300,Train Accuracy:74.776123046875%
2023-04-24 16:44:01,113 - Epoch:16/300,Train Accuracy:75.223876953125%
2023-04-24 16:44:01,182 - Epoch:17/300,Train Accuracy:76.0447769165039%
2023-04-24 16:44:01,250 - Epoch:18/300,Train Accuracy:76.3432846069336%
2023-04-24 16:44:01,318 - Epoch:19/300,Train Accuracy:76.49253845214844%
2023-04-24 16:44:01,386 - Epoch:20/300,Train Accuracy:76.94029998779297%
2023-04-24 16:44:01,454 - Epoch:21/300,Train Accuracy:78.13433074951172%
2023-04-24 16:44:01,522 - Epoch:22/300,Train Accuracy:78.20895385742188%
2023-04-24 16:44:01,600 - Epoch:23/300,Train Accuracy:78.50746154785156%
2023-04-24 16:44:01,669 - Epoch:24/300,Train Accuracy:78.50746154785156%
2023-04-24 16:44:01,737 - Epoch:25/300,Train Accuracy:79.10447692871094%
2023-04-24 16:44:01,806 - Epoch:26/300,Train Accuracy:79.32836151123047%
2023-04-24 16:44:01,874 - Epoch:27/300,Train Accuracy:78.80596923828125%
2023-04-24 16:44:01,943 - Epoch:28/300,Train Accuracy:79.85074615478516%
2023-04-24 16:44:02,024 - Epoch:29/300,Train Accuracy:80.37313079833984%
2023-04-24 16:44:02,093 - Epoch:30/300,Train Accuracy:79.85074615478516%
2023-04-24 16:44:02,161 - Epoch:31/300,Train Accuracy:80.74626922607422%
2023-04-24 16:44:02,229 - Epoch:32/300,Train Accuracy:79.85074615478516%
2023-04-24 16:44:02,298 - Epoch:33/300,Train Accuracy:80.67163848876953%
2023-04-24 16:44:02,386 - Epoch:34/300,Train Accuracy:80.67163848876953%
2023-04-24 16:44:02,473 - Epoch:35/300,Train Accuracy:80.29850769042969%
