2023-04-10 15:24:22,084 - lr:0.0001,weight_decay:9,batch_size:20
2023-04-10 15:24:22,084 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-10 15:24:22,084 - This is for user20
2023-04-10 15:24:22,503 - Epoch:0/300,Train Accuracy:50.74626922607422%
2023-04-10 15:24:22,684 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:22,864 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:23,044 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:23,225 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:23,437 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:23,676 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:23,860 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:24,042 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:24,227 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:24,407 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:24,588 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:24,769 - Epoch:12/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:24,950 - Epoch:13/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:25,129 - Epoch:14/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:25,309 - Epoch:15/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:25,489 - Epoch:16/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:25,673 - Epoch:17/300,Train Accuracy:50.82089614868164%
2023-04-10 15:24:25,851 - Epoch:18/300,Train Accuracy:50.82089614868164%
