2023-04-08 17:11:56,191 - lr:0.0001,weight_decay:2,batch_size:20
2023-04-08 17:11:56,191 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-08 17:11:56,191 - This is for user12
2023-04-08 17:11:56,616 - Epoch:0/300,Train Accuracy:49.62686538696289%
2023-04-08 17:11:56,807 - Epoch:1/300,Train Accuracy:49.850746154785156%
2023-04-08 17:11:56,990 - Epoch:2/300,Train Accuracy:53.656715393066406%
2023-04-08 17:11:57,163 - Epoch:3/300,Train Accuracy:52.6119384765625%
2023-04-08 17:11:57,331 - Epoch:4/300,Train Accuracy:55.44776153564453%
2023-04-08 17:11:57,497 - Epoch:5/300,Train Accuracy:53.88059616088867%
2023-04-08 17:11:57,663 - Epoch:6/300,Train Accuracy:62.01492691040039%
2023-04-08 17:11:57,829 - Epoch:7/300,Train Accuracy:66.19403076171875%
2023-04-08 17:11:57,993 - Epoch:8/300,Train Accuracy:68.88059997558594%
2023-04-08 17:11:58,158 - Epoch:9/300,Train Accuracy:70.29850769042969%
2023-04-08 17:11:58,322 - Epoch:10/300,Train Accuracy:69.92537689208984%
2023-04-08 17:11:58,487 - Epoch:11/300,Train Accuracy:69.62686920166016%
2023-04-08 17:11:58,661 - Epoch:12/300,Train Accuracy:70.52238464355469%
2023-04-08 17:11:58,835 - Epoch:13/300,Train Accuracy:70.223876953125%
2023-04-08 17:11:59,009 - Epoch:14/300,Train Accuracy:71.71641540527344%
2023-04-08 17:11:59,181 - Epoch:15/300,Train Accuracy:70.89552307128906%
2023-04-08 17:11:59,356 - Epoch:16/300,Train Accuracy:72.08955383300781%
2023-04-08 17:11:59,529 - Epoch:17/300,Train Accuracy:72.08955383300781%
2023-04-08 17:11:59,697 - Epoch:18/300,Train Accuracy:73.35820770263672%
