2023-04-09 17:29:38,246 - lr:0.0001,weight_decay:8,batch_size:20
2023-04-09 17:29:38,246 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-09 17:29:38,247 - This is for user20
2023-04-09 17:29:38,644 - Epoch:0/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:38,817 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:39,021 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:39,236 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:39,435 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:39,634 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:39,831 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:40,031 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:40,227 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:40,426 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:40,623 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:40,825 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:41,028 - Epoch:12/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:41,199 - Epoch:13/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:41,368 - Epoch:14/300,Train Accuracy:50.82089614868164%
2023-04-09 17:29:41,536 - Epoch:15/300,Train Accuracy:50.74626922607422%
2023-04-09 17:29:41,707 - Epoch:16/300,Train Accuracy:66.11940002441406%
2023-04-09 17:29:41,889 - Epoch:17/300,Train Accuracy:77.3880615234375%
2023-04-09 17:29:42,062 - Epoch:18/300,Train Accuracy:79.10447692871094%
