2023-04-07 17:26:12,691 - lr:0.0001,weight_decay:9,batch_size:20
2023-04-07 17:26:12,691 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-07 17:26:12,691 - This is for user7
2023-04-07 17:26:13,112 - Epoch:0/300,Train Accuracy:50.74626922607422%
2023-04-07 17:26:13,306 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:13,488 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:13,665 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:13,845 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:14,018 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:14,193 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:14,371 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:14,575 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:14,768 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:14,961 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:15,150 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-07 17:26:15,343 - Epoch:12/300,Train Accuracy:56.791046142578125%
2023-04-07 17:26:15,533 - Epoch:13/300,Train Accuracy:72.3880615234375%
2023-04-07 17:26:15,721 - Epoch:14/300,Train Accuracy:76.2686538696289%
2023-04-07 17:26:15,904 - Epoch:15/300,Train Accuracy:77.6119384765625%
2023-04-07 17:26:16,087 - Epoch:16/300,Train Accuracy:79.70149230957031%
2023-04-07 17:26:16,270 - Epoch:17/300,Train Accuracy:80.89552307128906%
2023-04-07 17:26:16,453 - Epoch:18/300,Train Accuracy:81.5671615600586%
