2023-04-08 16:40:51,262 - lr:0.0001,weight_decay:8,batch_size:20
2023-04-08 16:40:51,262 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-08 16:40:51,262 - This is for user12
2023-04-08 16:40:51,721 - Epoch:0/300,Train Accuracy:48.50746154785156%
2023-04-08 16:40:51,905 - Epoch:1/300,Train Accuracy:48.05970001220703%
2023-04-08 16:40:52,101 - Epoch:2/300,Train Accuracy:49.62686538696289%
2023-04-08 16:40:52,286 - Epoch:3/300,Train Accuracy:50.89552307128906%
2023-04-08 16:40:52,467 - Epoch:4/300,Train Accuracy:51.64179229736328%
2023-04-08 16:40:52,650 - Epoch:5/300,Train Accuracy:50.74626922607422%
2023-04-08 16:40:52,845 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-08 16:40:53,052 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-08 16:40:53,249 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-08 16:40:53,444 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-08 16:40:53,641 - Epoch:10/300,Train Accuracy:52.91044616699219%
2023-04-08 16:40:53,822 - Epoch:11/300,Train Accuracy:63.582088470458984%
2023-04-08 16:40:54,003 - Epoch:12/300,Train Accuracy:71.3432846069336%
2023-04-08 16:40:54,183 - Epoch:13/300,Train Accuracy:72.16417694091797%
2023-04-08 16:40:54,365 - Epoch:14/300,Train Accuracy:72.53731536865234%
2023-04-08 16:40:54,546 - Epoch:15/300,Train Accuracy:72.83582305908203%
2023-04-08 16:40:54,734 - Epoch:16/300,Train Accuracy:72.98507690429688%
2023-04-08 16:40:54,911 - Epoch:17/300,Train Accuracy:73.80596923828125%
2023-04-08 16:40:55,092 - Epoch:18/300,Train Accuracy:73.80596923828125%
