2023-04-08 22:33:09,105 - lr:0.0001,weight_decay:7,batch_size:20
2023-04-08 22:33:09,105 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-08 22:33:09,105 - This is for user16
2023-04-08 22:33:09,478 - Epoch:0/300,Train Accuracy:48.50746154785156%
2023-04-08 22:33:09,649 - Epoch:1/300,Train Accuracy:49.402984619140625%
2023-04-08 22:33:09,829 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:10,000 - Epoch:3/300,Train Accuracy:50.223880767822266%
2023-04-08 22:33:10,172 - Epoch:4/300,Train Accuracy:48.73134231567383%
2023-04-08 22:33:10,341 - Epoch:5/300,Train Accuracy:52.08955383300781%
2023-04-08 22:33:10,510 - Epoch:6/300,Train Accuracy:50.970149993896484%
2023-04-08 22:33:10,677 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:10,844 - Epoch:8/300,Train Accuracy:50.89552307128906%
2023-04-08 22:33:11,013 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:11,201 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:11,369 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:11,538 - Epoch:12/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:11,709 - Epoch:13/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:11,877 - Epoch:14/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:12,045 - Epoch:15/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:12,214 - Epoch:16/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:12,384 - Epoch:17/300,Train Accuracy:50.82089614868164%
2023-04-08 22:33:12,551 - Epoch:18/300,Train Accuracy:50.82089614868164%
