use:RandomForestClassifier
Num features: ,40
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
CV Accuracy: 0.69 (+/- 0.13)
Test Accuracy: 0.66
1: 0.918813870207005 threshold: 0.44000000000004563
CV Accuracy: 0.90 (+/- 0.11)
Test Accuracy: 0.65
2: 0.9424840597432091 threshold: 0.2799999999999982
CV Accuracy: 0.74 (+/- 0.05)
Test Accuracy: 0.76
3: 0.9992236100193127 threshold: 0.5180000000009343
CV Accuracy: 0.70 (+/- 0.09)
Test Accuracy: 0.64
4: 0.9445075261303753 threshold: 0.454
CV Accuracy: 0.75 (+/- 0.09)
Test Accuracy: 0.60
5: 0.8076105627856871 threshold: 0.3981833333335287
CV Accuracy: 0.66 (+/- 0.12)
Test Accuracy: 0.70
6: 0.9756601741054531 threshold: 0.4746666666666667
CV Accuracy: 0.76 (+/- 0.13)
Test Accuracy: 0.74
7: 0.9950311041236012 threshold: 0.4750000000000279
CV Accuracy: 0.73 (+/- 0.13)
Test Accuracy: 0.56
8: 0.5947875117671607 threshold: 0.386
CV Accuracy: 0.80 (+/- 0.08)
Test Accuracy: 0.77
9: 0.9976077483720072 threshold: 0.49699999999998673
CV Accuracy: 0.75 (+/- 0.08)
Test Accuracy: 0.75
10: 0.9975106996244213 threshold: 0.5219999999995583
CV Accuracy: 0.74 (+/- 0.13)
Test Accuracy: 0.78
11: 0.9998253122543455 threshold: 0.4880000000000059
CV Accuracy: 0.70 (+/- 0.13)
Test Accuracy: 0.74
12: 0.9791442241437875 threshold: 0.4691666666666666
CV Accuracy: 0.68 (+/- 0.09)
Test Accuracy: 0.68
13: 0.979415960637028 threshold: 0.4880000000001445
CV Accuracy: 0.70 (+/- 0.14)
Test Accuracy: 0.73
14: 0.9954872332372551 threshold: 0.504
CV Accuracy: 0.69 (+/- 0.11)
Test Accuracy: 0.80
15: 0.9974039460020768 threshold: 0.5499999999999988
CV Accuracy: 0.68 (+/- 0.10)
Test Accuracy: 0.63
16: 0.9638250793373511 threshold: 0.43299999999999894
CV Accuracy: 0.73 (+/- 0.10)
Test Accuracy: 0.67
17: 0.9745392610708359 threshold: 0.46900000000000736
CV Accuracy: 0.77 (+/- 0.20)
Test Accuracy: 0.55
18: 0.7143467163556254 threshold: 0.3185
CV Accuracy: 0.72 (+/- 0.13)
Test Accuracy: 0.67
19: 0.9376461796760514 threshold: 0.43960000000000593
CV Accuracy: 0.74 (+/- 0.18)
Test Accuracy: 0.66
20: 0.9712881280267078 threshold: 0.4190000000000467
CV Accuracy: 0.77 (+/- 0.13)
Test Accuracy: 0.81
21: 0.9997185586320009 threshold: 0.5070000000000013
CV Accuracy: 0.89 (+/- 0.16)
Test Accuracy: 0.63
22: 0.6667637154142526 threshold: 0.202
CV Accuracy: 0.72 (+/- 0.12)
Test Accuracy: 0.75
23: 0.9923331489407129 threshold: 0.46299999999999875
CV Accuracy: 0.73 (+/- 0.11)
Test Accuracy: 0.70
24: 0.9780475732960667 threshold: 0.4806666666666667
CV Accuracy: 0.72 (+/- 0.12)
Test Accuracy: 0.75
25: 0.9806727419182655 threshold: 0.472
CV Accuracy: 0.72 (+/- 0.11)
Test Accuracy: 0.72
26: 0.9736075930940111 threshold: 0.46899999999969627
CV Accuracy: 0.72 (+/- 0.15)
Test Accuracy: 0.65
27: 0.925660659349191 threshold: 0.44649999999999995
CV Accuracy: 0.76 (+/- 0.10)
Test Accuracy: 0.67
28: 0.9688764666491979 threshold: 0.4060999999999983
