user,test_acc,auc
7,51.212120056152344%,0.4970168874507028
9,52.727272033691406%,0.5140054606128021
12,48.030303955078125%,0.49494387703508946
15,50.75757598876953%,0.4919102032561432
16,52.42424392700195%,0.5114773991303468
20,45.15151596069336%,0.4546465770047528
21,50.45454406738281%,0.4996966326221053
